GTEX.1117F.0226.SM.5GZZ7_Adipose.Subcutaneous	GTEX.111CU.1826.SM.5GZYN_Adipose.Subcutaneous	GTEX.111FC.0226.SM.5N9B8_Adipose.Subcutaneous	GTEX.111VG.2326.SM.5N9BK_Adipose.Subcutaneous	GTEX.111YS.2426.SM.5GZZQ_Adipose.Subcutaneous	GTEX.1122O.2026.SM.5NQ91_Adipose.Subcutaneous	GTEX.1128S.2126.SM.5H12U_Adipose.Subcutaneous	GTEX.113IC.0226.SM.5HL5C_Adipose.Subcutaneous	GTEX.117YX.2226.SM.5EGJJ_Adipose.Subcutaneous	GTEX.11DXW.0326.SM.5H11W_Adipose.Subcutaneous	GTEX.11DXX.2326.SM.5Q5A2_Adipose.Subcutaneous	GTEX.11DZ1.0226.SM.5A5KF_Adipose.Subcutaneous	GTEX.11EI6.0226.SM.5EQ64_Adipose.Subcutaneous	GTEX.11EM3.2326.SM.5H12B_Adipose.Subcutaneous	GTEX.11EMC.2826.SM.5PNY6_Adipose.Subcutaneous	GTEX.11EQ8.0226.SM.5EQ5G_Adipose.Subcutaneous	GTEX.11EQ9.2526.SM.5HL66_Adipose.Subcutaneous	GTEX.11GS4.2626.SM.5A5LD_Adipose.Subcutaneous	GTEX.11GSO.2326.SM.5A5LX_Adipose.Subcutaneous	GTEX.11H98.0226.SM.5NQ89_Adipose.Subcutaneous	GTEX.11I78.2626.SM.5Q5AI_Adipose.Subcutaneous	GTEX.11LCK.1126.SM.5A5KC_Adipose.Subcutaneous	GTEX.11O72.0226.SM.59869_Adipose.Subcutaneous	GTEX.11OF3.2426.SM.5Q5AS_Adipose.Subcutaneous	GTEX.11ONC.2526.SM.5986W_Adipose.Subcutaneous	GTEX.11P7K.2026.SM.5GU74_Adipose.Subcutaneous	GTEX.11P81.2426.SM.5GU65_Adipose.Subcutaneous	GTEX.11P82.1726.SM.5Q5AT_Adipose.Subcutaneous	GTEX.11PRG.0626.SM.5BC56_Adipose.Subcutaneous	
AP2M1	5.82	5.82	6.24	6.24	5.82	6.24	6.03	5.82	6.24	6.08	5.82	6.24	5.77	5.82	6.24	5.86	5.82	6.24	5.96	5.82	6.24	5.94	5.82	6.24	5.53	5.82	6.24	5.93	5.82
AP2S1	5.13	5.13	5.9	5.9	5.13	5.9	4.75	5.13	5.9	5.9	5.13	5.9	5.09	5.13	5.9	4.8	5.13	5.9	4.86	5.13	5.9	5.17	5.13	5.9	5.05	5.13	5.9	4.83	5.13
AP3B1	2.74	2.74	2.96	2.96	2.74	2.96	2.76	2.74	2.96	2.83	2.74	2.96	2.83	2.74	2.96	2.65	2.74	2.96	2.86	2.74	2.96	2.67	2.74	2.96	2.7	2.74	2.96	2.67	2.74
AP3B2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AP3D1	4.02	4.02	4.31	4.31	4.02	4.31	3.71	4.02	4.31	3.74	4.02	4.31	3.91	4.02	4.31	3.93	4.02	4.31	3.88	4.02	4.31	3.88	4.02	4.31	4.35	4.02	4.31	3.77	4.02
AP3M1	3.21	3.21	3.51	3.51	3.21	3.51	3.34	3.21	3.51	3.26	3.21	3.51	3.36	3.21	3.51	3.44	3.21	3.51	3.41	3.21	3.51	3.09	3.21	3.51	3.18	3.21	3.51	3.12	3.21
AP3M2	2.13	2.13	1.82	1.82	2.13	1.82	2.56	2.13	1.82	2.17	2.13	1.82	1.65	2.13	1.82	1.64	2.13	1.82	1.26	2.13	1.82	1.93	2.13	1.82	1.64	2.13	1.82	2.46	2.13
AP3S1	4.94	4.94	4.39	4.39	4.94	4.39	4.9	4.94	4.39	4.82	4.94	4.39	4	4.94	4.39	4.48	4.94	4.39	4.51	4.94	4.39	4.71	4.94	4.39	4.09	4.94	4.39	4.17	4.94
AP3S2	2.93	2.93	2.48	2.48	2.93	2.48	2.57	2.93	2.48	2.51	2.93	2.48	2.95	2.93	2.48	2.83	2.93	2.48	3.13	2.93	2.48	3.1	2.93	2.48	3.01	2.93	2.48	2.13	2.93
AP4B1	1.83	1.83	1.54	1.54	1.83	1.54	2.33	1.83	1.54	1.89	1.83	1.54	1.58	1.83	1.54	1.66	1.83	1.54	1.45	1.83	1.54	1.93	1.83	1.54	1.32	1.83	1.54	1.92	1.83
AP4B1-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AP4E1	1.86	1.86	1.66	1.66	1.86	1.66	1.89	1.86	1.66	1.3	1.86	1.66	1.34	1.86	1.66	1.59	1.86	1.66	1.38	1.86	1.66	1.16	1.86	1.66	1.23	1.86	1.66	1.39	1.86
AP4M1	1.49	1.49	1.66	1.66	1.49	1.66	2.3	1.49	1.66	1.63	1.49	1.66	1.59	1.49	1.66	1.59	1.49	1.66	1.15	1.49	1.66	2.07	1.49	1.66	2.06	1.49	1.66	1.8	1.49
AP4S1	0	0	0	0	0	0	0.18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AP5B1	1.3	1.3	1.51	1.51	1.3	1.51	0.01	1.3	1.51	1.62	1.3	1.51	0.65	1.3	1.51	0.52	1.3	1.51	1	1.3	1.51	0.49	1.3	1.51	1.47	1.3	1.51	0.51	1.3
AP5M1	1.54	1.54	2.19	2.19	1.54	2.19	2.16	1.54	2.19	1.85	1.54	2.19	2.28	1.54	2.19	2.29	1.54	2.19	2.06	1.54	2.19	2.04	1.54	2.19	2.06	1.54	2.19	1.93	1.54
AP5S1	1.49	1.49	2.93	2.93	1.49	2.93	2.13	1.49	2.93	2.16	1.49	2.93	1.98	1.49	2.93	2.26	1.49	2.93	2.38	1.49	2.93	2.12	1.49	2.93	1.53	1.49	2.93	1.5	1.49
AP5Z1	3.61	3.61	3.3	3.3	3.61	3.3	2.5	3.61	3.3	3.34	3.61	3.3	2.71	3.61	3.3	2.94	3.61	3.3	2.64	3.61	3.3	2.87	3.61	3.3	3.14	3.61	3.3	2.61	3.61
APAF1	1.42	1.42	0.81	0.81	1.42	0.81	1.64	1.42	0.81	1.8	1.42	0.81	1.07	1.42	0.81	1.03	1.42	0.81	1.21	1.42	0.81	1.31	1.42	0.81	1.09	1.42	0.81	0.98	1.42
APBA1	1.22	1.22	0.44	0.44	1.22	0.44	1.26	1.22	0.44	0.86	1.22	0.44	0.29	1.22	0.44	0.12	1.22	0.44	0	1.22	0.44	1.02	1.22	0.44	0.1	1.22	0.44	1.32	1.22
APBA2	1.44	1.44	0	0	1.44	0	0	1.44	0	0	1.44	0	0	1.44	0	0	1.44	0	0	1.44	0	0	1.44	0	0	1.44	0	0	1.44
APBA3	1.78	1.78	1.15	1.15	1.78	1.15	1.43	1.78	1.15	1.5	1.78	1.15	1.02	1.78	1.15	0.94	1.78	1.15	1.02	1.78	1.15	1.52	1.78	1.15	1.05	1.78	1.15	0.88	1.78
APBB1	3.43	3.43	2.75	2.75	3.43	2.75	3.43	3.43	2.75	2.65	3.43	2.75	2.91	3.43	2.75	2.92	3.43	2.75	2.85	3.43	2.75	3.29	3.43	2.75	2.79	3.43	2.75	3.29	3.43
APBB1IP	2.92	2.92	4.51	4.51	2.92	4.51	2.89	2.92	4.51	4.77	2.92	4.51	3.85	2.92	4.51	3.56	2.92	4.51	3.92	2.92	4.51	3.66	2.92	4.51	2.86	2.92	4.51	3.25	2.92
APBB2	2.18	2.18	2.64	2.64	2.18	2.64	2.97	2.18	2.64	2.46	2.18	2.64	3.67	2.18	2.64	3.8	2.18	2.64	3.28	2.18	2.64	2.92	2.18	2.64	2.37	2.18	2.64	3.14	2.18
APBB3	3.3	3.3	2.99	2.99	3.3	2.99	3.47	3.3	2.99	4.38	3.3	2.99	2.5	3.3	2.99	2.65	3.3	2.99	2.47	3.3	2.99	3.2	3.3	2.99	2.91	3.3	2.99	3.13	3.3
APC	1.21	1.21	1.93	1.93	1.21	1.93	2.2	1.21	1.93	1.23	1.21	1.93	1.83	1.21	1.93	1.81	1.21	1.93	1.6	1.21	1.93	1.73	1.21	1.93	1.69	1.21	1.93	1.65	1.21
APC2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
APCDD1	1.9	1.9	5.34	5.34	1.9	5.34	2.87	1.9	5.34	1.98	1.9	5.34	3.79	1.9	5.34	4.37	1.9	5.34	4.67	1.9	5.34	3.38	1.9	5.34	5.03	1.9	5.34	2.57	1.9
APCDD1L	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.16	0	0	0	0	0	0	0
APCDD1L-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
APCS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
APEH	3.6	3.6	3.7	3.7	3.6	3.7	3.33	3.6	3.7	3.26	3.6	3.7	3.17	3.6	3.7	3.18	3.6	3.7	2.78	3.6	3.7	3.45	3.6	3.7	3.53	3.6	3.7	3.02	3.6
APEX1	5.84	5.84	6.15	6.15	5.84	6.15	5.6	5.84	6.15	5.8	5.84	6.15	5.74	5.84	6.15	5.64	5.84	6.15	5.45	5.84	6.15	5.68	5.84	6.15	5.92	5.84	6.15	5.56	5.84
APEX2	2.21	2.21	2.72	2.72	2.21	2.72	2.42	2.21	2.72	3.01	2.21	2.72	2.15	2.21	2.72	2.22	2.21	2.72	2.12	2.21	2.72	2.47	2.21	2.72	2.4	2.21	2.72	2.06	2.21
APH1A	5.89	5.89	5	5	5.89	5	4.92	5.89	5	5.24	5.89	5	4.94	5.89	5	4.84	5.89	5	4.77	5.89	5	5.34	5.89	5	5.08	5.89	5	4.74	5.89
APH1B	2.8	2.8	2.49	2.49	2.8	2.49	2.54	2.8	2.49	2.68	2.8	2.49	2.14	2.8	2.49	2.47	2.8	2.49	2.28	2.8	2.49	2.7	2.8	2.49	2.56	2.8	2.49	1.77	2.8
API5	3.86	3.86	3.93	3.93	3.86	3.93	4.14	3.86	3.93	3.68	3.86	3.93	3.9	3.86	3.93	3.85	3.86	3.93	3.77	3.86	3.93	3.81	3.86	3.93	3.76	3.86	3.93	3.92	3.86
APIP	1.29	1.29	2.13	2.13	1.29	2.13	1.5	1.29	2.13	1.46	1.29	2.13	2.36	1.29	2.13	1.8	1.29	2.13	2.13	1.29	2.13	1.89	1.29	2.13	2.14	1.29	2.13	2.05	1.29
APITD1	0.93	0.93	1.5	1.5	0.93	1.5	1.96	0.93	1.5	1.03	0.93	1.5	1.06	0.93	1.5	1.24	0.93	1.5	0.83	0.93	1.5	1.81	0.93	1.5	1.41	0.93	1.5	0.92	0.93
APLF	0	0	0	0	0	0	0.19	0	0	0.08	0	0	0	0	0	0	0	0	0.27	0	0	0.01	0	0	0	0	0	0	0
APLN	2.95	2.95	1.53	1.53	2.95	1.53	0.84	2.95	1.53	2.6	2.95	1.53	0	2.95	1.53	0	2.95	1.53	0	2.95	1.53	0	2.95	1.53	0	2.95	1.53	5.74	2.95
APLNR	0.22	0.22	1.77	1.77	0.22	1.77	5.37	0.22	1.77	3.35	0.22	1.77	1.51	0.22	1.77	0.6	0.22	1.77	0.98	0.22	1.77	3.47	0.22	1.77	0	0.22	1.77	5.62	0.22
APLP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
APLP2	6.39	6.39	6.22	6.22	6.39	6.22	6	6.39	6.22	7.08	6.39	6.22	6.05	6.39	6.22	5.97	6.39	6.22	6.2	6.39	6.22	6.17	6.39	6.22	6.25	6.39	6.22	6.1	6.39
APMAP	5.32	5.32	6.74	6.74	5.32	6.74	4.79	5.32	6.74	6.08	5.32	6.74	6.21	5.32	6.74	6.18	5.32	6.74	6.19	5.32	6.74	5.7	5.32	6.74	6.99	5.32	6.74	5.07	5.32
APOA1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
APOA1BP	4.21	4.21	4.49	4.49	4.21	4.49	4.22	4.21	4.49	4.09	4.21	4.49	3.71	4.21	4.49	4.04	4.21	4.49	3.98	4.21	4.49	4.31	4.21	4.49	4.14	4.21	4.49	4.21	4.21
APOA2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
APOA4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
APOA5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
APOB	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
APOBEC1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
APOBEC2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
APOBEC3A	0	0	0	0	0	0	0	0	0	0.33	0	0	0	0	0	0	0	0	0	0	0	0.76	0	0	0	0	0	0	0
APOBEC3B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
APOBEC3B-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
APOBEC3C	2.66	2.66	3.23	3.23	2.66	3.23	4.08	2.66	3.23	4.06	2.66	3.23	2.6	2.66	3.23	2.38	2.66	3.23	2.36	2.66	3.23	4.38	2.66	3.23	2.57	2.66	3.23	3.38	2.66
APOBEC3D	0	0	0.56	0.56	0	0.56	1.19	0	0.56	1.27	0	0.56	0	0	0.56	0	0	0.56	0	0	0.56	1.56	0	0.56	0	0	0.56	0.6	0
APOBEC3F	0.02	0.02	0	0	0.02	0	0.49	0.02	0	0.53	0.02	0	0	0.02	0	0	0.02	0	0	0.02	0	0.91	0.02	0	0	0.02	0	0.09	0.02
APOBEC3G	0	0	0	0	0	0	0.76	0	0	1.16	0	0	0	0	0	0	0	0	0	0	0	1.75	0	0	0	0	0	0.31	0
APOBEC3H	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.97	0	0	0	0	0	0	0
APOBEC4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
APOBR	0.14	0.14	1.88	1.88	0.14	1.88	0	0.14	1.88	3.74	0.14	1.88	0.79	0.14	1.88	0.91	0.14	1.88	0.48	0.14	1.88	0.39	0.14	1.88	0	0.14	1.88	0	0.14
APOC1	1.79	1.79	2.39	2.39	1.79	2.39	2.86	1.79	2.39	6.78	1.79	2.39	2.6	1.79	2.39	2.98	1.79	2.39	3	1.79	2.39	1.17	1.79	2.39	4.1	1.79	2.39	1.85	1.79
APOC2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
APOC3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.53	0	0	0	0
APOC4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
APOD	9.28	9.28	9.81	9.81	9.28	9.81	9.96	9.28	9.81	9.94	9.28	9.81	9.43	9.28	9.81	8.72	9.28	9.81	8.76	9.28	9.81	9.25	9.28	9.81	9.02	9.28	9.81	8.95	9.28
APOE	5.91	5.91	7.08	7.08	5.91	7.08	5.61	5.91	7.08	9.4	5.91	7.08	6.76	5.91	7.08	6.8	5.91	7.08	6.29	5.91	7.08	6.3	5.91	7.08	8.88	5.91	7.08	6.65	5.91
APOF	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
APOH	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
APOL1	2.83	2.83	3.77	3.77	2.83	3.77	3.87	2.83	3.77	4.16	2.83	3.77	3.6	2.83	3.77	3.12	2.83	3.77	3.6	2.83	3.77	4.89	2.83	3.77	2.97	2.83	3.77	3.56	2.83
APOL2	4.19	4.19	3.84	3.84	4.19	3.84	3.19	4.19	3.84	4	4.19	3.84	3.69	4.19	3.84	3.86	4.19	3.84	3.03	4.19	3.84	4.1	4.19	3.84	5.08	4.19	3.84	3.35	4.19
APOL3	5.32	5.32	5.17	5.17	5.32	5.17	4.65	5.32	5.17	4.22	5.32	5.17	5.1	5.32	5.17	5.03	5.32	5.17	5.01	5.32	5.17	4.86	5.32	5.17	4.46	5.32	5.17	4.41	5.32
APOL4	1.06	1.06	1.25	1.25	1.06	1.25	2.11	1.06	1.25	2.13	1.06	1.25	3.09	1.06	1.25	1.94	1.06	1.25	1.23	1.06	1.25	2.04	1.06	1.25	4.99	1.06	1.25	0	1.06
APOL5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
APOL6	2.78	2.78	3.16	3.16	2.78	3.16	1.92	2.78	3.16	3.21	2.78	3.16	3.49	2.78	3.16	4.2	2.78	3.16	4.18	2.78	3.16	3.49	2.78	3.16	3.84	2.78	3.16	2.31	2.78
APOLD1	4.73	4.73	4.55	4.55	4.73	4.55	3.31	4.73	4.55	3.99	4.73	4.55	6.23	4.73	4.55	5.96	4.73	4.55	6.27	4.73	4.55	3.86	4.73	4.55	5.24	4.73	4.55	4.64	4.73
APOM	1.79	1.79	0.34	0.34	1.79	0.34	0.82	1.79	0.34	0.86	1.79	0.34	0.39	1.79	0.34	0.16	1.79	0.34	0.17	1.79	0.34	0.86	1.79	0.34	0.4	1.79	0.34	0.41	1.79
APOO	0.79	0.79	1.26	1.26	0.79	1.26	1.44	0.79	1.26	1.58	0.79	1.26	1.14	0.79	1.26	1.65	0.79	1.26	1.94	0.79	1.26	1.47	0.79	1.26	1.69	0.79	1.26	1.43	0.79
APOOL	0	0	0.95	0.95	0	0.95	1.18	0	0.95	0.14	0	0.95	0.96	0	0.95	0.29	0	0.95	0.25	0	0.95	0.26	0	0.95	1.18	0	0.95	0.62	0
APOPT1	2.08	2.08	2.6	2.6	2.08	2.6	2.48	2.08	2.6	2.4	2.08	2.6	2.53	2.08	2.6	3.22	2.08	2.6	2.98	2.08	2.6	2.61	2.08	2.6	3.17	2.08	2.6	2.16	2.08
APP	7.04	7.04	6.64	6.64	7.04	6.64	6.79	7.04	6.64	6.38	7.04	6.64	6.8	7.04	6.64	6.13	7.04	6.64	6.48	7.04	6.64	6.87	7.04	6.64	6.51	7.04	6.64	6.94	7.04
APPBP2	2.13	2.13	2.23	2.23	2.13	2.23	2.65	2.13	2.23	1.97	2.13	2.23	2.51	2.13	2.23	2.78	2.13	2.23	2.65	2.13	2.23	2.19	2.13	2.23	2.36	2.13	2.23	2.24	2.13
APPL1	3.2	3.2	2.93	2.93	3.2	2.93	3.42	3.2	2.93	2.93	3.2	2.93	2.93	3.2	2.93	2.96	3.2	2.93	2.94	3.2	2.93	2.85	3.2	2.93	2.92	3.2	2.93	2.99	3.2
APPL2	4.64	4.64	3.72	3.72	4.64	3.72	3.82	4.64	3.72	3.67	4.64	3.72	4.53	4.64	3.72	4.3	4.64	3.72	3.9	4.64	3.72	4.08	4.64	3.72	5.19	4.64	3.72	3.08	4.64
APRT	4.54	4.54	5.46	5.46	4.54	5.46	4.92	4.54	5.46	5.09	4.54	5.46	4.83	4.54	5.46	4.83	4.54	5.46	4.43	4.54	5.46	4.77	4.54	5.46	5.3	4.54	5.46	4.43	4.54
APTX	2.85	2.85	2.46	2.46	2.85	2.46	2.69	2.85	2.46	2.46	2.85	2.46	2.08	2.85	2.46	2.27	2.85	2.46	2.25	2.85	2.46	2.32	2.85	2.46	2.3	2.85	2.46	2.17	2.85
AQP1	6.3	6.3	7.28	7.28	6.3	7.28	8.48	6.3	7.28	7.7	6.3	7.28	7.79	6.3	7.28	7.4	6.3	7.28	7.06	6.3	7.28	8.62	6.3	7.28	5.51	6.3	7.28	8.16	6.3
AQP10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AQP11	0	0	0	0	0	0	0	0	0	0.12	0	0	0.1	0	0	0.26	0	0	0	0	0	0	0	0	0	0	0	0	0
AQP12A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AQP12B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AQP2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AQP3	2.15	2.15	0.56	0.56	2.15	0.56	0	2.15	0.56	2.88	2.15	0.56	0.5	2.15	0.56	1.61	2.15	0.56	1.46	2.15	0.56	0.49	2.15	0.56	0.87	2.15	0.56	0.34	2.15
AQP4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AQP4-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AQP5	4.74	4.74	0	0	4.74	0	0	4.74	0	0	4.74	0	0	4.74	0	0	4.74	0	0	4.74	0	0	4.74	0	0	4.74	0	0	4.74
AQP6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AQP7	4.21	4.21	6.67	6.67	4.21	6.67	3.43	4.21	6.67	5.16	4.21	6.67	6.81	4.21	6.67	7.44	4.21	6.67	7.64	4.21	6.67	5.37	4.21	6.67	7.51	4.21	6.67	5.89	4.21
AQP8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AQP9	0	0	0.63	0.63	0	0.63	0	0	0.63	4.54	0	0.63	0.78	0	0.63	0.48	0	0.63	0.93	0	0.63	0	0	0.63	0	0	0.63	0	0
AQPEP	2.5	2.5	2.03	2.03	2.5	2.03	1.36	2.5	2.03	2.51	2.5	2.03	3	2.5	2.03	2.74	2.5	2.03	2.85	2.5	2.03	2.31	2.5	2.03	2.54	2.5	2.03	1.55	2.5
AQR	2.22	2.22	2.26	2.26	2.22	2.26	2.24	2.22	2.26	2.09	2.22	2.26	2.13	2.22	2.26	1.95	2.22	2.26	2.11	2.22	2.26	1.9	2.22	2.26	2	2.22	2.26	2.16	2.22
AR	1.11	1.11	2.64	2.64	1.11	2.64	2.05	1.11	2.64	0.99	1.11	2.64	2.73	1.11	2.64	2.59	1.11	2.64	1.35	1.11	2.64	2.48	1.11	2.64	2.17	1.11	2.64	1.46	1.11
ARAF	4.36	4.36	4.66	4.66	4.36	4.66	4.35	4.36	4.66	4.31	4.36	4.66	4.31	4.36	4.66	4.39	4.36	4.66	4.55	4.36	4.66	4.28	4.36	4.66	4.43	4.36	4.66	4.34	4.36
ARAP1	3.54	3.54	3.61	3.61	3.54	3.61	3.87	3.54	3.61	4.83	3.54	3.61	3.08	3.54	3.61	3.01	3.54	3.61	3.13	3.54	3.61	4.26	3.54	3.61	3.62	3.54	3.61	3.28	3.54
ARAP1-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARAP1-AS2	0	0	0	0	0	0	0	0	0	1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARAP2	0.43	0.43	0.3	0.3	0.43	0.3	0	0.43	0.3	0.79	0.43	0.3	0.18	0.43	0.3	0	0.43	0.3	0.35	0.43	0.3	0.37	0.43	0.3	0	0.43	0.3	0	0.43
ARAP3	3.16	3.16	3.4	3.4	3.16	3.4	3.85	3.16	3.4	3.07	3.16	3.4	3.8	3.16	3.4	3.63	3.16	3.4	3.54	3.16	3.4	3.48	3.16	3.4	3.65	3.16	3.4	3.86	3.16
ARC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARCN1	5.2	5.2	5.11	5.11	5.2	5.11	5.19	5.2	5.11	5.02	5.2	5.11	5.15	5.2	5.11	5.53	5.2	5.11	5.5	5.2	5.11	5.05	5.2	5.11	5.14	5.2	5.11	5.18	5.2
AREG	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AREGB	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AREL1	2.44	2.44	2.32	2.32	2.44	2.32	2.02	2.44	2.32	2.4	2.44	2.32	2.17	2.44	2.32	2.39	2.44	2.32	2.11	2.44	2.32	2.14	2.44	2.32	2.31	2.44	2.32	1.79	2.44
ARF1	6.87	6.87	6.75	6.75	6.87	6.75	6.61	6.87	6.75	6.72	6.87	6.75	6.59	6.87	6.75	6.52	6.87	6.75	6.81	6.87	6.75	6.62	6.87	6.75	6.78	6.87	6.75	6.64	6.87
ARF3	4.69	4.69	4.93	4.93	4.69	4.93	4.91	4.69	4.93	4.9	4.69	4.93	4.56	4.69	4.93	4.47	4.69	4.93	4.55	4.69	4.93	4.91	4.69	4.93	4.46	4.69	4.93	4.59	4.69
ARF4	5.81	5.81	5.46	5.46	5.81	5.46	5.45	5.81	5.46	6.1	5.81	5.46	5.37	5.81	5.46	5.69	5.81	5.46	5.64	5.81	5.46	5.87	5.81	5.46	5.14	5.81	5.46	5.56	5.81
ARF5	5.56	5.56	5.24	5.24	5.56	5.24	5.18	5.56	5.24	5.42	5.56	5.24	4.7	5.56	5.24	4.83	5.56	5.24	4.77	5.56	5.24	5.46	5.56	5.24	5.02	5.56	5.24	5.24	5.56
ARF6	4.94	4.94	5.02	5.02	4.94	5.02	5.08	4.94	5.02	5.53	4.94	5.02	4.63	4.94	5.02	4.36	4.94	5.02	4.84	4.94	5.02	4.83	4.94	5.02	4.54	4.94	5.02	5.14	4.94
ARFGAP1	4.75	4.75	3.45	3.45	4.75	3.45	3.6	4.75	3.45	4.18	4.75	3.45	3.44	4.75	3.45	3.43	4.75	3.45	3.21	4.75	3.45	3.7	4.75	3.45	3.23	4.75	3.45	3.87	4.75
ARFGAP2	3.94	3.94	4.07	4.07	3.94	4.07	3.84	3.94	4.07	3.51	3.94	4.07	3.85	3.94	4.07	4.03	3.94	4.07	3.68	3.94	4.07	3.77	3.94	4.07	4.34	3.94	4.07	3.55	3.94
ARFGAP3	4.44	4.44	4	4	4.44	4	4.09	4.44	4	4.13	4.44	4	3.81	4.44	4	3.92	4.44	4	4.19	4.44	4	4.17	4.44	4	3.89	4.44	4	4.01	4.44
ARFGEF1	2.58	2.58	2.53	2.53	2.58	2.53	2.43	2.58	2.53	2.45	2.58	2.53	2.46	2.58	2.53	2.65	2.58	2.53	2.39	2.58	2.53	2.42	2.58	2.53	2.62	2.58	2.53	2.16	2.58
ARFGEF2	3.21	3.21	2.91	2.91	3.21	2.91	2.79	3.21	2.91	2.69	3.21	2.91	3.26	3.21	2.91	3.31	3.21	2.91	2.82	3.21	2.91	2.72	3.21	2.91	3.05	3.21	2.91	2.57	3.21
ARFIP1	2.54	2.54	2.79	2.79	2.54	2.79	3.39	2.54	2.79	2.84	2.54	2.79	2.81	2.54	2.79	2.98	2.54	2.79	2.68	2.54	2.79	3.17	2.54	2.79	2.26	2.54	2.79	2.76	2.54
