GSM329408	GSM329409	GSM329410	GSM329411	GSM329414	GSM329417	GSM329419	GSM329421	GSM329425	GSM329427
BEND3	P	P	P	A	P	P	P	P	P	P
BEND4	P	P	P	A	P	A	P	A	A	A
BEND5	P	P	A	A	P	A	A	P	P	P
BEND6	A	A	A	A	A	A	A	A	A	A
BEND7	A	A	A	A	A	A	P	A	A	A
BEST1	A	A	A	P	A	A	P	P	P	A
BEST2	A	A	A	A	A	A	A	A	A	A
BEST3	P	P	P	M	P	P	P	P	A	A
BEST4	A	A	A	A	A	A	A	A	A	A
BET1	P	P	P	P	P	P	P	P	P	P
BET1L	P	P	P	P	P	P	P	P	P	P
BEX1	A	P	A	P	P	A	P	A	A	P
BEX2	P	P	P	P	A	P	P	P	P	P
BEX4	P	P	P	P	P	P	P	P	P	P
BEX5	A	A	A	A	A	A	P	A	A	A
BFAR	P	P	P	P	P	P	P	P	P	P
BFSP1	A	P	A	A	A	A	A	A	A	A
BFSP2	A	A	P	A	A	A	A	A	A	A
BFSP2-AS1	A	A	A	A	A	A	A	A	A	A
BGLAP	P	P	P	A	P	A	P	P	P	P
BGLT3	A	A	A	A	A	A	A	A	A	A
BGN	M	A	A	P	A	P	P	P	A	A
BHLHB9	A	A	A	A	A	A	A	A	P	A
BHLHE22	A	P	A	A	A	A	P	A	P	A
BHLHE23	A	A	A	A	A	A	A	A	A	A
BHLHE40	P	P	A	P	P	P	P	P	P	P
BHLHE41	A	P	A	A	M	P	A	A	A	A
BHMT	A	A	A	A	A	A	A	A	A	A
BHMT2	A	A	A	A	A	A	A	P	A	A
BICC1	P	A	M	A	A	A	P	A	A	A
BICD1	P	P	P	A	P	P	A	P	P	P
BICD2	P	P	P	P	P	P	P	P	P	P
BID	P	P	P	P	P	P	P	P	P	P
BIK	P	P	P	P	P	P	A	P	P	P
BIN1	A	P	P	P	A	P	P	P	P	A
BIN2	A	M	A	P	P	P	P	P	A	P
BIN3	P	P	P	P	P	P	P	P	P	P
BIN3-IT1	A	A	A	A	A	A	P	P	P	A
BIRC2	P	P	P	P	P	P	P	P	P	P
BIRC3	A	P	P	P	P	P	P	P	P	P
BIRC5	P	P	P	P	P	P	P	P	P	P
BIRC6	P	P	P	P	P	P	P	P	P	P
BIRC7	A	A	A	A	A	A	A	A	A	A
BIVM	A	P	A	A	A	P	P	A	A	P
BLACAT1	A	A	A	A	A	A	A	A	A	A
BLCAP	P	P	P	P	P	P	P	P	P	P
BLID	A	A	A	A	A	A	A	A	A	A
BLK	P	P	P	P	P	P	P	P	P	P
BLM	P	P	P	P	P	P	P	P	P	P
BLMH	P	P	P	A	P	P	P	P	P	P
BLNK	P	P	P	P	P	P	P	P	P	P
BLOC1S1	P	P	P	P	P	P	P	P	P	P
BLOC1S1-RDH5	A	A	A	A	A	A	A	P	A	A
BLOC1S2	P	P	P	P	P	P	P	P	P	P
BLOC1S3	A	P	P	A	P	P	P	P	P	A
BLOC1S4	P	P	P	P	P	P	P	P	P	P
BLOC1S5	P	P	P	P	P	P	P	P	P	P
BLOC1S5-TXNDC5	P	P	P	P	P	P	P	P	P	P
BLOC1S6	P	P	P	P	P	P	P	P	P	P
BLVRA	A	P	P	P	P	P	P	P	P	P
BLVRB	P	P	P	P	P	P	P	P	P	P
BLZF1	P	P	P	P	A	P	P	P	P	P
BMF	A	P	A	A	A	A	A	M	A	A
BMI1	P	P	P	P	P	P	P	P	P	P
BMP1	A	P	A	A	A	A	A	A	P	P
BMP10	A	A	A	A	M	A	A	A	A	A
BMP15	A	A	A	A	A	A	A	A	A	A
BMP2	M	M	A	A	A	A	P	A	A	A
BMP2K	P	P	P	P	P	P	P	P	P	P
BMP3	P	A	P	A	P	P	A	A	P	A
BMP4	A	A	A	A	A	A	A	A	A	A
BMP5	A	A	P	A	A	P	A	A	A	A
BMP6	A	A	A	A	A	A	A	A	A	A
BMP7	A	P	P	A	P	P	A	A	A	A
BMP8A	A	A	A	A	A	A	A	A	A	A
BMP8B	P	P	A	A	A	P	P	A	A	A
BMPER	A	A	A	A	A	A	A	A	A	A
BMPR1A	P	P	P	P	P	P	P	M	A	A
BMPR1B	A	A	A	P	P	P	A	A	A	A
BMPR2	P	P	A	P	P	P	P	P	P	A
BMS1	P	P	P	P	P	P	P	P	P	P
BMS1P17	A	A	A	A	A	A	A	A	A	A
BMS1P20	P	P	P	A	P	P	P	P	P	P
BMS1P5	A	P	A	P	P	P	P	P	P	P
BMS1P6	A	P	A	A	P	P	P	P	P	P
BMX	A	A	A	A	P	A	P	A	A	A
BNC1	A	A	A	A	A	A	A	P	A	A
BNC2	A	P	A	P	P	P	A	P	P	A
BNIP1	P	P	P	P	P	P	P	P	P	P
BNIP2	P	P	P	P	P	P	P	P	P	P
BNIP3	P	P	P	P	P	P	P	P	P	P
BNIP3L	P	P	P	P	P	P	P	P	P	P
BNIPL	A	A	A	A	A	A	A	A	A	A
BOC	A	A	A	A	A	A	M	A	A	A
BOD1	P	P	P	A	P	P	P	P	P	P
BOD1L1	P	P	P	P	P	P	P	P	P	P
BOD1L2	A	A	A	A	A	A	A	A	A	A
BOK	A	A	A	A	A	A	A	A	A	A
BOLA1	P	P	P	A	P	P	A	P	P	P
BOLA2	P	P	P	P	P	P	P	P	P	P
BOLA3	P	P	P	P	P	P	P	P	P	P
BOLA3-AS1	A	A	A	A	A	A	A	A	A	A
BOLL	A	A	A	A	A	A	A	A	A	A
BOP1	P	P	P	P	P	P	P	P	P	P
BORA	P	P	P	P	P	P	P	P	P	P
BPESC1	A	A	A	A	A	A	A	A	A	A
BPGM	P	P	P	P	P	P	P	P	P	P
BPHL	P	P	P	A	P	P	M	P	P	A
BPI	A	P	P	P	P	A	P	P	A	P
BPIFA1	A	A	A	A	A	A	A	A	A	A
BPIFA2	A	A	A	A	A	A	A	A	A	A
BPIFA3	A	A	A	A	A	A	A	A	A	A
BPIFA4P	A	A	A	A	P	A	A	A	A	A
BPIFB1	A	A	A	A	A	A	A	A	A	A
BPIFB2	A	A	A	A	A	A	A	A	A	A
BPIFB4	A	A	A	A	A	A	A	A	A	A
BPIFB6	A	A	A	A	A	A	A	A	A	A
BPIFB9P	A	A	A	A	A	A	A	A	A	A
BPIFC	A	A	A	A	A	A	A	A	A	A
BPNT1	P	P	P	A	P	P	P	P	P	P
BPTF	P	P	P	P	P	P	P	P	P	P
BPY2	A	A	A	A	A	A	A	A	A	A
BRAF	P	P	P	P	P	P	P	P	P	P
BRAP	P	P	P	P	P	P	P	P	P	P
BRAT1	P	P	A	A	P	P	P	P	P	P
BRCA1	P	P	P	A	P	P	P	P	P	P
BRCA2	P	P	P	A	P	P	P	P	P	P
BRCC3	P	P	P	P	P	P	P	P	P	P
BRD1	P	P	P	P	P	P	P	P	P	P
BRD2	P	P	P	P	P	P	P	P	P	P
BRD3	P	P	P	P	P	P	P	P	P	P
BRD4	P	P	P	P	P	P	P	P	P	P
BRD7	P	P	P	P	P	P	P	P	P	P
BRD7P3	A	P	A	A	A	A	A	A	A	A
BRD8	P	P	P	P	P	P	P	P	P	P
BRD9	P	P	P	M	P	P	P	P	P	P
BRDT	A	A	A	A	A	A	A	A	A	A
BRE	P	P	P	P	P	P	P	P	P	P
BREA2	A	A	A	A	A	A	A	A	A	A
BRE-AS1	A	P	A	A	P	A	A	P	P	P
BRF1	P	A	A	A	A	A	A	P	P	P
BRF2	P	P	P	P	P	P	P	P	P	P
BRI3	P	P	P	P	P	P	P	P	P	P
BRI3BP	P	P	P	P	P	P	P	P	P	P
BRICD5	A	A	A	A	P	A	P	P	P	A
BRINP1	A	A	A	A	A	A	A	A	A	A
BRINP2	A	A	A	A	A	A	A	A	P	A
BRINP3	A	A	A	A	A	A	A	A	A	A
BRIP1	P	P	P	A	P	P	P	M	P	P
BRIX1	P	P	P	A	P	P	P	P	P	P
BRK1	P	P	P	P	P	P	P	P	P	P
BRMS1	P	P	P	P	P	P	P	P	P	P
BRMS1L	P	P	P	A	P	P	P	P	P	P
BROX	P	P	P	P	P	P	P	P	P	P
BRPF1	P	P	P	P	P	P	P	P	P	P
BRPF3	P	P	P	A	P	P	P	P	P	P
BRS3	A	A	A	A	A	A	A	A	A	A
BRSK1	A	A	A	A	A	A	A	A	A	A
BRSK2	A	A	A	A	P	A	A	A	A	A
BRWD1	P	P	P	A	P	P	P	P	P	P
BRWD1-IT2	A	A	A	A	A	A	A	P	P	P
BRWD3	P	P	P	P	P	P	P	P	P	P
BSCL2	P	P	A	A	P	P	P	P	P	P
BSDC1	P	P	P	P	P	P	P	P	P	P
BSG	P	P	P	P	P	P	P	P	P	P
BSN	A	A	A	A	A	A	A	A	A	A
BSN-AS2	A	A	A	A	A	A	A	A	A	A
BSND	A	A	A	A	A	A	P	A	A	P
BSPRY	P	P	A	P	P	P	P	P	P	P
BST1	A	P	A	P	P	P	P	P	P	P
BST2	P	P	P	P	P	P	P	P	P	P
BTAF1	P	P	P	P	P	P	P	P	P	P
BTBD1	P	P	P	P	P	P	P	P	P	P
BTBD10	P	P	P	A	P	P	P	P	P	P
BTBD11	P	A	A	P	A	P	P	A	P	P
BTBD16	A	A	A	A	A	A	A	A	A	A
BTBD17	A	A	A	A	A	A	A	A	A	A
BTBD18	A	P	A	A	A	A	A	A	P	A
BTBD19	A	A	A	A	A	A	A	A	A	A
BTBD2	P	P	P	A	P	P	A	P	P	A
BTBD3	P	P	A	A	P	A	P	P	P	P
BTBD6	P	P	P	P	P	P	P	P	P	P
BTBD7	P	P	P	A	P	P	P	P	P	P
BTBD8	A	A	A	A	A	A	A	A	A	A
BTBD9	A	M	A	A	P	M	M	M	P	P
BTC	A	A	A	A	A	A	A	A	A	A
BTD	P	P	A	A	P	P	P	P	P	P
BTF3	P	P	P	P	P	P	P	P	P	P
BTF3L4	P	P	P	P	P	P	P	P	P	P
BTF3P11	A	A	M	A	A	A	A	A	A	A
BTF3P12	P	A	A	A	P	P	P	P	P	A
BTF3P13	A	P	A	A	A	A	P	A	P	A
BTG1	P	P	P	P	P	P	P	P	P	P
BTG2	P	P	P	P	P	P	P	P	P	P
BTG3	P	P	P	P	P	P	P	P	P	P
BTG4	A	A	A	A	A	A	A	A	A	A
BTK	P	P	P	P	P	P	P	P	P	P
BTLA	A	P	A	P	P	P	A	A	A	A
BTN1A1	A	A	P	A	A	A	A	A	A	A
BTN2A1	P	P	P	A	P	P	P	P	P	P
BTN2A2	P	P	A	A	P	P	P	P	P	P
BTN2A3P	A	A	A	A	A	A	A	A	A	A
BTN3A1	P	P	M	M	P	P	P	P	P	P
BTN3A2	P	P	P	P	P	P	P	P	P	P
BTN3A3	P	P	P	P	P	P	P	P	P	P
BTNL2	A	A	A	A	A	A	A	A	A	A
BTNL3	P	P	A	A	P	A	P	A	P	P
BTNL8	A	A	A	A	P	A	A	A	A	A
BTNL9	A	P	P	P	P	P	A	A	P	A
BTRC	P	P	P	P	P	P	M	P	P	P
BUB1	P	P	P	A	P	P	P	P	P	P
BUB1B	P	P	P	A	P	P	P	P	P	P
BUB3	P	P	P	P	P	P	P	P	P	P
BUD13	P	P	P	A	P	P	P	P	P	P
BUD31	P	P	P	P	P	P	P	P	P	P
BV03S1J2.2	A	A	A	A	A	A	A	A	A	A
BVES	A	P	A	A	A	P	A	P	P	P
BVES-AS1	A	A	A	A	A	A	A	A	A	A
BX538226	A	A	A	A	A	A	A	A	P	A
BX648501	A	A	A	A	A	A	A	A	A	A
BYSL	P	P	P	A	P	P	A	A	P	P
BZRAP1	A	P	A	A	A	A	P	P	P	P
BZRAP1-AS1	P	P	P	A	P	P	P	P	P	P
BZW1	P	P	P	P	P	P	P	P	P	P
BZW2	P	P	P	P	P	P	P	P	P	P
C10orf10	A	A	A	P	P	A	A	A	A	A
C10orf107	A	A	A	A	A	A	A	A	A	A
C10orf11	A	P	A	P	P	P	P	A	P	P
C10orf113	A	A	A	A	A	A	A	A	A	A
C10orf12	P	P	P	P	P	P	P	P	P	P
C10orf126	A	A	A	A	A	M	A	A	A	A
C10orf128	A	A	P	A	P	P	P	P	P	P
C10orf2	P	P	P	A	P	P	A	P	P	P
C10orf25	A	A	A	A	A	A	A	A	P	A
C10orf32	P	P	P	P	P	P	P	P	P	P
C10orf35	A	A	A	A	A	A	A	A	A	A
C10orf40	A	A	A	A	A	A	A	A	A	A
C10orf53	A	A	A	A	A	A	A	A	A	A
C10orf54	A	P	P	P	P	P	P	P	P	P
C10orf55	A	A	P	A	A	A	A	A	A	A
C10orf62	A	A	A	A	A	A	A	A	A	A
C10orf67	A	A	A	A	A	A	A	A	P	A
C10orf71	A	A	A	A	A	A	A	A	A	P
C10orf71-AS1	P	A	A	A	P	A	A	A	A	A
C10orf76	P	P	P	P	P	P	P	P	P	P
C10orf82	A	A	A	A	A	A	A	A	A	A
C10orf85	A	A	A	A	A	A	A	A	A	P
C10orf88	P	P	P	A	P	P	P	P	P	P
C10orf90	A	A	A	A	A	A	A	A	P	A
C10orf91	A	A	A	A	A	A	A	P	A	P
C10orf95	A	A	A	A	A	A	A	A	A	A
C10orf99	A	A	M	A	A	A	A	A	A	A
C11orf1	P	P	P	A	P	P	P	P	P	P
C11orf16	A	A	A	A	A	A	A	A	A	A
C11orf21	P	P	A	P	P	P	P	P	P	P
C11orf24	P	P	P	A	P	P	P	P	P	P
C11orf30	P	P	P	P	P	P	P	P	P	P
C11orf31	P	P	P	P	P	P	P	P	P	P
C11orf40	A	A	A	A	A	A	A	A	A	A
C11orf42	A	A	A	A	A	A	A	A	A	A
C11orf44	A	A	A	A	A	A	P	A	A	A
C11orf45	A	A	A	A	A	A	A	P	P	A
C11orf48	P	P	P	P	P	P	P	P	P	P
C11orf49	P	P	P	A	P	P	A	P	P	P
C11orf52	A	A	A	A	A	A	A	A	A	A
C11orf53	A	A	A	A	A	A	A	A	A	A
C11orf54	P	P	P	A	P	P	P	P	P	P
C11orf57	P	P	P	P	P	P	P	P	P	P
C11orf58	P	P	P	P	P	P	P	P	P	P
C11orf63	A	A	A	A	A	A	A	A	A	A
C11orf65	A	A	A	A	A	A	A	A	A	A
C11orf68	P	P	P	A	P	P	P	P	P	P
C11orf70	A	A	A	A	A	A	A	A	A	A
C11orf71	P	P	P	A	P	P	P	P	P	P
C11orf72	A	A	A	A	P	A	A	P	A	A
C11orf73	P	P	P	P	P	P	P	P	P	P
C11orf74	A	A	A	A	P	A	P	M	A	A
C11orf80	P	P	P	A	P	P	A	P	P	P
C11orf83	P	P	P	P	P	P	P	P	P	P
C11orf84	P	P	P	A	P	P	P	P	P	M
C11orf85	A	A	P	A	A	A	A	A	A	A
C11orf86	A	A	A	A	A	A	A	A	A	A
C11orf87	A	A	A	A	A	A	A	A	P	A
C11orf88	A	A	A	A	A	A	A	A	A	A
C11orf92	A	A	A	A	A	A	A	A	A	P
C11orf94	A	A	A	A	A	A	A	A	A	A
C11orf95	P	P	P	A	P	P	P	P	P	P
C11orf96	P	P	A	P	P	A	P	P	P	P
C11orf97	A	A	A	A	A	A	A	A	A	A
C12orf10	P	P	P	P	P	P	P	P	P	P
C12orf29	P	P	P	P	P	P	P	P	P	P
C12orf4	P	P	P	P	P	P	P	P	P	P
C12orf40	A	A	A	A	A	A	A	A	A	A
C12orf42	A	P	A	A	P	M	A	A	A	A
C12orf43	P	P	P	A	P	P	P	P	P	M
C12orf45	P	P	P	P	P	P	P	P	P	P
C12orf49	P	P	P	P	P	P	P	P	P	P
C12orf5	P	P	P	A	P	P	P	P	P	P
C12orf50	A	A	A	A	A	A	A	A	A	A
C12orf54	P	A	A	A	P	A	A	A	A	P
C12orf55	A	A	A	P	A	A	A	P	A	A
C12orf56	A	A	A	A	A	A	A	A	A	A
C12orf57	P	P	P	P	P	P	P	P	P	P
C12orf60	P	A	A	A	A	P	A	A	A	A
C12orf61	P	A	A	A	P	A	P	P	P	A
C12orf65	P	P	P	P	P	P	P	P	P	P
C12orf66	P	P	P	A	P	P	P	P	P	P
C12orf73	P	P	P	A	P	P	P	P	P	P
C12orf74	A	A	A	A	A	A	A	A	A	A
C12orf75	P	P	P	P	P	P	P	P	P	P
C12orf76	P	P	P	M	P	P	P	P	P	P
C12orf77	P	A	A	A	A	A	A	A	A	A
C12orf79	A	P	A	A	A	A	P	A	A	A
C12orf80	A	A	A	A	A	A	A	A	A	A
C14orf1	P	P	P	A	P	P	P	P	P	P
C14orf105	P	A	A	A	A	P	M	A	M	A
C14orf119	P	P	P	P	P	P	P	P	P	P
C14orf132	P	P	A	A	A	A	A	A	A	A
C14orf142	P	P	P	A	P	P	P	P	P	P
C14orf159	P	P	P	P	P	P	P	P	P	P
C14orf166	P	P	P	P	P	P	P	P	P	P
C14orf169	P	P	P	P	P	P	P	P	P	P
C14orf178	A	A	P	P	P	A	A	P	A	A
C14orf180	A	A	A	A	A	A	A	A	A	A
C14orf182	A	A	A	A	A	P	A	A	A	A
C14orf183	A	M	A	A	A	A	A	A	A	A
C14orf2	P	P	P	P	P	P	P	P	P	P
C14orf23	A	A	A	A	A	A	A	A	A	A
C14orf28	P	P	A	P	P	M	P	P	P	A
C14orf37	A	A	A	A	A	A	A	A	A	A
C14orf39	A	A	A	A	A	P	A	A	A	A
C14orf64	A	A	A	A	A	M	A	A	A	A
C14orf79	A	A	A	A	A	A	A	A	A	A
C14orf80	P	A	P	A	A	P	A	A	P	M
C14orf93	P	P	P	P	P	P	M	P	P	P
C15orf26	A	A	A	A	A	A	A	A	A	A
C15orf27	A	A	A	A	A	A	A	P	P	A
C15orf32	A	A	A	A	A	A	A	A	A	A
C15orf37	P	P	A	A	P	P	P	P	P	P
C15orf39	P	P	P	P	P	P	P	P	P	P
C15orf40	P	P	P	P	P	P	P	P	P	P
C15orf41	P	P	A	A	P	M	A	A	A	A
C15orf43	A	A	A	A	A	A	A	A	A	A
C15orf45	A	A	A	A	A	A	A	A	A	A
C15orf48	A	A	A	P	A	A	P	A	A	A
C15orf49	A	A	A	A	A	A	A	A	A	A
C15orf52	A	A	A	A	A	A	A	A	A	A
C15orf54	A	A	A	A	A	M	A	A	A	A
C15orf56	A	A	A	A	A	A	A	A	A	A
C15orf57	P	P	P	P	P	P	P	P	P	P
C15orf59	A	A	P	A	A	A	A	A	A	A
C15orf61	P	P	P	P	P	P	P	P	P	P
C15orf62	A	P	A	A	P	A	A	A	A	A
C15orf65	P	P	A	A	P	A	A	P	P	A
C16orf13	P	P	P	P	P	P	P	P	P	P
C16orf3	A	A	A	A	A	A	A	A	A	A
C16orf45	A	A	P	A	A	P	P	A	A	M
C16orf46	P	P	A	A	P	P	A	P	P	A
C16orf52	P	P	P	M	P	P	P	P	P	P
C16orf54	P	P	P	P	P	P	P	P	P	P
C16orf58	P	P	A	A	P	P	M	P	P	P
C16orf59	P	A	A	A	P	P	A	A	A	P
C16orf62	P	P	P	P	P	P	P	P	P	P
C16orf70	P	P	A	A	P	P	P	P	P	P
C16orf71	A	A	A	A	A	A	A	A	A	A
C16orf72	P	P	P	P	P	P	P	P	P	P
C16orf74	P	P	P	A	P	P	A	P	A	P
C16orf78	A	A	A	A	A	A	A	A	A	A
C16orf80	P	P	P	P	P	P	P	P	P	P
C16orf82	A	A	A	A	A	A	A	A	A	A
C16orf86	A	A	A	A	P	A	A	A	A	A
C16orf87	P	P	P	A	P	P	P	P	P	P
C16orf89	A	A	A	A	A	A	A	A	A	A
C16orf91	P	P	P	A	P	P	P	P	P	P
C16orf92	A	A	A	A	A	A	A	A	A	A
C16orf93	P	P	A	A	P	P	P	P	P	P
C16orf95	P	P	P	P	P	P	P	P	P	A
C17orf100	P	A	P	A	A	A	A	A	A	M
C17orf104	A	P	P	A	A	P	A	A	A	P
C17orf105	A	A	A	A	A	A	A	A	A	A
C17orf47	A	A	A	A	A	A	A	A	A	A
C17orf49	P	P	P	P	P	P	P	P	P	P
C17orf50	A	A	A	A	A	A	A	A	A	A
C17orf51	A	A	A	A	A	A	A	A	A	A
C17orf53	A	A	A	A	A	A	A	A	A	A
C17orf58	P	P	P	A	P	P	P	P	P	P
C17orf59	A	A	A	A	A	A	A	A	P	A
C17orf62	P	P	P	P	P	P	P	P	P	P
C17orf64	A	A	A	A	A	A	A	A	A	A
C17orf67	A	A	A	A	A	A	A	P	P	A
C17orf70	P	P	P	P	P	P	P	P	P	P
C17orf74	A	A	A	A	A	A	A	A	A	P
C17orf75	P	P	P	A	P	P	P	P	P	P
C17orf77	A	A	A	A	A	A	A	A	A	A
C17orf78	A	A	A	A	A	A	A	A	A	A
C17orf80	P	A	P	A	P	P	A	P	P	P
C17orf82	A	P	A	A	P	A	P	A	A	A
C17orf85	P	P	P	M	P	P	P	P	P	P
C17orf89	P	P	P	P	P	P	P	P	P	P
C17orf96	A	A	A	A	A	A	A	A	A	A
C17orf97	A	A	A	A	P	A	A	A	P	A
C17orf98	A	A	A	A	A	A	A	A	A	A
C17orf99	A	A	A	A	A	A	P	A	A	A
C18orf12	A	A	A	A	A	A	A	A	A	A
C18orf15	A	A	A	A	A	A	A	P	A	A
C18orf21	P	P	P	P	P	P	P	P	P	P
C18orf25	P	P	P	P	P	P	P	P	P	P
C18orf32	P	P	P	P	P	P	P	P	P	P
C18orf42	A	A	A	A	A	A	A	A	A	A
C18orf49	A	A	A	A	A	A	A	A	A	A
C18orf54	P	P	P	A	P	P	A	P	P	P
C18orf61	A	A	A	A	A	A	A	A	A	A
C18orf8	P	P	P	P	P	P	P	P	P	P
C19orf10	P	P	P	P	P	P	P	P	P	P
C19orf12	P	P	P	P	P	P	P	P	P	P
C19orf18	A	A	A	A	A	A	A	A	P	A
C19orf24	P	P	P	A	P	P	P	P	P	P
C19orf25	P	P	P	A	P	P	P	P	P	P
C19orf26	A	M	A	P	A	A	A	A	A	A
C19orf33	A	A	A	A	A	A	A	A	A	M
C19orf40	P	P	A	A	P	P	M	A	P	P
C19orf43	P	P	P	P	P	P	P	P	P	P
C19orf44	A	A	P	A	P	P	A	A	P	A
C19orf45	A	A	A	A	A	A	A	A	A	A
C19orf47	A	A	A	A	A	A	A	A	A	A
C19orf48	P	P	P	A	P	P	A	P	P	P
C19orf52	P	A	A	A	P	P	P	M	P	A
C19orf53	P	P	P	P	P	P	P	P	P	P
C19orf54	P	P	P	P	P	P	P	P	P	P
C19orf57	A	A	A	A	A	A	A	A	A	A
C19orf60	P	P	P	P	P	P	P	P	P	P
C19orf66	P	P	P	P	P	P	P	P	P	P
C19orf68	A	A	A	A	A	A	A	A	A	A
C19orf70	P	P	P	P	P	P	P	P	P	P
C19orf73	A	A	A	A	A	A	A	A	A	A
C19orf80	A	A	A	A	A	A	A	A	A	A
C19orf81	A	P	A	A	A	A	A	P	A	A
C19orf82	P	M	A	A	A	P	A	P	P	A
C19orf83	A	M	A	A	A	A	A	A	P	A
C19orf84	A	A	A	A	A	A	A	A	A	A
C1D	P	P	P	P	P	P	P	P	P	P
C1GALT1	P	P	P	P	P	P	P	P	P	P
C1GALT1C1	P	P	P	A	P	P	P	P	P	P
C1orf100	A	A	A	A	A	A	A	A	A	A
C1orf101	A	A	A	A	A	A	A	A	P	A
C1orf105	A	A	A	A	A	A	A	A	A	A
C1orf106	A	A	A	A	A	A	P	A	P	P
C1orf109	P	P	P	A	P	P	P	P	P	A
C1orf110	A	A	A	A	A	A	A	A	A	A
C1orf111	A	A	A	A	A	A	M	A	A	A
C1orf112	P	P	P	A	P	P	A	A	P	P
C1orf115	A	A	A	A	A	A	A	A	P	A
C1orf116	A	P	A	A	A	A	A	A	A	A
C1orf122	P	P	P	P	P	P	P	P	P	P
C1orf123	P	P	P	P	P	P	P	P	P	P
C1orf127	A	A	A	A	A	A	A	A	A	A
C1orf131	P	P	P	P	P	P	P	P	P	P
C1orf145	A	A	A	A	A	A	A	A	A	A
C1orf158	A	A	A	A	A	A	A	A	A	A
C1orf159	A	M	A	A	P	M	A	A	A	A
C1orf162	A	P	P	P	P	P	P	P	P	P
C1orf167	A	A	A	A	A	A	A	P	A	A
C1orf168	A	A	A	A	A	A	A	A	A	A
C1orf174	P	P	P	P	P	P	P	P	P	P
C1orf177	A	A	A	A	A	A	A	A	A	A
C1orf180	A	A	A	A	A	A	A	A	A	A
C1orf186	P	A	P	A	P	P	A	A	A	P
C1orf192	A	A	A	A	A	A	A	A	A	A
C1orf194	P	A	A	A	A	A	A	A	A	A
C1orf198	A	P	A	A	P	M	A	A	P	A
C1orf200	A	A	A	A	A	A	A	A	A	A
C1orf204	A	A	A	A	A	A	A	A	A	A
C1orf21	P	A	A	A	P	A	A	A	A	P
C1orf210	A	A	A	A	A	A	A	A	A	A
C1orf213	P	P	A	A	P	P	P	P	P	P
C1orf216	P	P	P	P	P	P	M	P	P	P
C1orf220	A	A	A	A	A	P	A	A	A	A
C1orf226	A	P	A	A	A	A	A	A	A	A
C1orf228	A	P	A	P	P	P	P	P	P	P
C1orf233	P	P	P	P	P	A	P	P	P	A
C1orf234	A	A	A	A	A	A	A	A	A	A
C1orf27	P	P	P	P	P	P	P	P	P	P
C1orf35	P	P	A	A	P	P	P	P	P	P
C1orf43	P	P	P	P	P	P	P	P	P	P
C1orf50	P	P	P	P	P	P	P	P	P	P
C1orf52	P	P	P	P	P	P	P	P	P	P
C1orf53	P	P	P	A	P	P	A	P	A	A
C1orf54	A	P	A	A	P	P	P	P	P	P
C1orf56	M	P	A	A	P	A	P	P	P	P
C1orf61	P	P	A	A	M	A	P	P	P	P
C1orf64	A	A	A	A	A	A	A	A	A	A
C1orf68	A	A	A	A	A	A	A	A	A	A
C1orf74	P	M	A	P	P	M	A	P	P	A
C1orf85	P	P	A	P	P	P	P	P	P	A
C1orf86	P	P	P	P	P	P	P	P	P	P
C1orf87	A	A	A	A	A	A	A	A	A	A
C1orf94	A	A	A	A	A	A	A	A	A	A
C1orf95	A	A	A	A	A	A	A	A	A	A
C1QA	A	A	A	P	A	A	A	A	A	A
C1QB	A	P	A	P	P	P	P	A	A	A
C1QBP	P	P	P	P	P	P	P	P	P	P
C1QC	A	P	A	P	A	A	P	A	A	A
C1QL1	A	A	A	A	A	A	P	A	P	A
C1QTNF1	A	M	P	A	A	P	A	A	A	A
C1QTNF1-AS1	A	A	A	A	A	A	A	A	A	A
C1QTNF2	A	A	A	A	A	A	A	A	A	A
C1QTNF3	P	P	A	A	P	A	P	A	P	P
C1QTNF4	A	A	A	A	A	A	A	P	P	P
C1QTNF5	P	A	A	A	M	A	A	A	A	P
C1QTNF6	A	A	P	A	A	M	A	A	A	A
C1QTNF7	A	A	A	P	A	A	A	A	A	P
C1QTNF9	A	A	A	A	A	A	A	A	A	A
C1QTNF9B-AS1	A	A	A	A	A	A	A	A	A	A
C1R	P	A	A	A	A	A	P	A	P	A
C1RL	P	P	A	P	P	P	P	P	P	P
C1RL-AS1	A	A	A	A	A	A	A	A	A	A
C1S	A	A	A	A	A	A	A	A	A	A
C2	A	A	A	P	A	P	A	A	M	A
C20orf141	A	A	A	A	A	A	A	A	A	A
C20orf144	A	A	A	A	A	A	A	A	A	A
C20orf166	A	A	A	A	A	A	A	A	A	A
C20orf166-AS1	A	M	P	P	P	P	P	P	P	A
C20orf173	A	A	A	A	A	A	A	A	A	A
C20orf181	A	A	A	A	A	A	A	A	A	A
C20orf187	A	A	A	A	A	A	A	A	A	A
C20orf194	P	P	A	A	A	P	P	P	P	P
C20orf195	A	A	A	A	A	A	A	A	A	A
C20orf196	P	P	P	P	P	P	P	P	P	P
C20orf197	A	A	A	A	A	A	P	A	P	P
C20orf202	A	A	A	A	A	A	A	A	A	A
C20orf203	A	A	A	P	A	P	M	P	P	A
C20orf24	P	P	P	P	P	P	P	P	P	P
C20orf26	A	A	A	A	A	A	M	A	A	A
C20orf27	P	P	P	P	P	P	P	P	P	P
C20orf57	A	A	A	A	A	A	A	A	M	A
C20orf62	A	A	A	A	A	A	A	A	A	P
