GTEX.1117F.0226.SM.5GZZ7_Adipose.Subcutaneous	GTEX.111CU.1826.SM.5GZYN_Adipose.Subcutaneous	GTEX.111FC.0226.SM.5N9B8_Adipose.Subcutaneous	GTEX.111VG.2326.SM.5N9BK_Adipose.Subcutaneous	GTEX.111YS.2426.SM.5GZZQ_Adipose.Subcutaneous	GTEX.1122O.2026.SM.5NQ91_Adipose.Subcutaneous	GTEX.1128S.2126.SM.5H12U_Adipose.Subcutaneous	GTEX.113IC.0226.SM.5HL5C_Adipose.Subcutaneous	GTEX.117YX.2226.SM.5EGJJ_Adipose.Subcutaneous	GTEX.11DXW.0326.SM.5H11W_Adipose.Subcutaneous
CTD-3080P12.3	0	0	0	0	0	0	0	0	0	0
CTD-3088G3.6	0	0	0	0	0	0	0	0	0	0
CTD-3088G3.8	0	0	0	0	0	0	0	0	0	0
CTD-3092A11.2	3	3	3.03	3.03	3	3.03	2.45	3	3.03	2.91
CTD-3093M3.1	0	0	0	0	0	0	0	0	0	0
CTD-3094K11.1	0	0	0	0	0	0	0	0	0	0
CTD-3096M3.1	0	0	0	0	0	0	0	0	0	0
CTD-3096M3.2	0	0	0	0	0	0	0	0	0	0
CTD-3096P4.1	0	0	0	0	0	0	0	0	0	0
CTD-3098H1.2	0	0	0	0	0	0	0	0	0	0
CTD-3099C6.11	0.02	0.02	0.24	0.24	0.02	0.24	0.37	0.02	0.24	0.01
CTD-3099C6.5	0	0	0	0	0	0	0	0	0	0
CTD-3099C6.7	0	0	0	0	0	0	0	0	0	0
CTD-3099C6.9	0	0	0	0	0	0	0	0	0	0
CTD-3105H18.13	0	0	0	0	0	0	0	0	0	0
CTD-3105H18.7	0	0	0	0	0	0	0	0	0	0
CTD-3110H11.1	0.14	0.14	0	0	0.14	0	0	0.14	0	0.93
CTD-3113P16.5	0	0	0	0	0	0	0	0	0	0
CTD-3116E22.7	0	0	0	0	0	0	0	0	0	0
CTD-3118D11.3	0	0	0	0	0	0	0	0	0	0
CTD-3118D7.1	0	0	0	0	0	0	0	0	0	0
CTD-3126B10.4	0	0	0	0	0	0	0	0	0	0
CTD-3128G10.6	0.95	0.95	0	0	0.95	0	0.48	0.95	0	0.39
CTD-3131K8.2	0	0	0	0	0	0	0	0	0	0
CTD-3131K8.3	0	0	0	0	0	0	0	0	0	0
CTD-3137H5.1	0	0	0	0	0	0	0	0	0	0
CTD-3138B18.5	0.16	0.16	0.45	0.45	0.16	0.45	0.69	0.16	0.45	0.26
CTD-3138B18.6	0	0	0	0	0	0	0	0	0	0
CTD-3138F19.1	0	0	0	0	0	0	0	0	0	0
CTD-3148I10.1	0	0	0	0	0	0	0	0	0	0
CTD-3149D2.3	0	0	0	0	0	0	0	0	0	0
CTD-3154N5.1	0	0	0	0	0	0	0	0	0	0
CTD-3157E16.1	2.17	2.17	2.2	2.2	2.17	2.2	1.56	2.17	2.2	1.85
CTD-3162L10.1	0	0	0	0	0	0	0	0	0	0
CTD-3162L10.3	0	0	0	0	0	0	0	0	0	0
CTD-3162L10.4	0	0	0	0	0	0	0	0	0	0
CTD-3179P9.1	0	0	0	0	0	0	0	0	0	0
CTD-3179P9.2	0	0	0	0	0	0	0	0	0	0
CTD-3184A7.4	3.31	3.31	3.37	3.37	3.31	3.37	2.73	3.31	3.37	3.67
CTD-3185P2.1	0.27	0.27	0	0	0.27	0	0	0.27	0	0
CTD-3185P2.2	1.57	1.57	0.74	0.74	1.57	0.74	0.94	1.57	0.74	1.49
CTD-3187F8.11	0	0	0	0	0	0	0	0	0	0
CTD-3187F8.14	0	0	0	0	0	0	0	0	0	0
CTD-3187F8.2	0	0	0	0	0	0	0	0	0	0
CTD-3193K9.3	0	0	0	0	0	0	0	0	0	0
CTD-3193K9.4	0	0	0	0	0	0	0	0	0	0
CTD-3193O13.1	0	0	0	0	0	0	0	0	0	0
CTD-3193O13.8	0	0	0	0	0	0	0	0	0	0
CTD-3193O13.9	0	0	0	0	0	0	0	0	0	0
CTD-3194G12.1	0	0	0	0	0	0	0	0	0	0
CTD-3194G12.2	0	0	0	0	0	0	0	0	0	0
CTD-3195I5.1	2.57	2.57	2.66	2.66	2.57	2.66	3.28	2.57	2.66	2.78
CTD-3195I5.3	0	0	0	0	0	0	0	0	0	0
CTD-3195I5.4	0	0	0	0	0	0	0	0	0	0
CTD-3195I5.5	1.61	1.61	0	0	1.61	0	0	1.61	0	0.55
CTD-3203P2.1	0	0	0	0	0	0	0	0	0	0
CTD-3203P2.2	0	0	0	0	0	0	0	0	0	0
CTD-3214H19.6	0	0	0	0	0	0	0	0	0	0
CTD-3214K23.1	0	0	0	0	0	0	0	0	0	0
CTD-3216D2.5	0	0	0	0	0	0	0	0	0	0
CTD-3220F14.1	0	0	0	0	0	0	0	0	0	0
CTD-3220F14.2	0	0	0	0	0	0	0	0	0	0
CTD-3222D19.10	0	0	0	0	0	0	0	0	0	0
CTD-3222D19.5	0	0	0	0	0	0	0	0	0	0
CTD-3222D19.7	0	0	0	0	0	0	0	0	0	0
CTD-3224I3.3	0	0	0	0	0	0	0	0	0	0
CTD-3224K15.2	0	0	0	0	0	0	0	0	0	0
CTD-3224K15.3	0	0	0	0	0	0	0	0	0	0
CTD-3229J4.1	0	0	0	0	0	0	0	0	0	0
CTD-3234P18.2	0	0	0	0	0	0	0	0	0	0
CTD-3239E11.2	0	0	0	0	0	0	0	0	0	0
CTD-3247F14.2	0	0	0	0	0	0	0	0	0	0
CTD-3252C9.2	0	0	0	0	0	0	0	0	0	0
CTD-3253I12.1	0	0	0	0	0	0	0	0	0	0
CTDNEP1	5.31	5.31	5.7	5.7	5.31	5.7	5.32	5.31	5.7	5.39
CTDP1	3.04	3.04	2.78	2.78	3.04	2.78	2.35	3.04	2.78	2.51
CTDSP1	5.49	5.49	5.39	5.39	5.49	5.39	5.34	5.49	5.39	5.2
CTDSP2	5.88	5.88	5.92	5.92	5.88	5.92	6.2	5.88	5.92	5.33
CTDSPL	3.95	3.95	2.83	2.83	3.95	2.83	3.66	3.95	2.83	2.7
CTDSPL2	2.16	2.16	1.63	1.63	2.16	1.63	2.24	2.16	1.63	1.83
CTF1	0.97	0.97	2.36	2.36	0.97	2.36	2.19	0.97	2.36	1.48
CTGF	8.66	8.66	6.36	6.36	8.66	6.36	7.32	8.66	6.36	8.35
CTH	0.88	0.88	0.89	0.89	0.88	0.89	0.25	0.88	0.89	0
CTHRC1	7.88	7.88	5.39	5.39	7.88	5.39	5.77	7.88	5.39	6.03
CTIF	3.73	3.73	4.45	4.45	3.73	4.45	3.13	3.73	4.45	3.29
CTLA4	0	0	0	0	0	0	0	0	0	0.56
CTNNA1	5.66	5.66	5.57	5.57	5.66	5.57	5.59	5.66	5.57	5.34
CTNNA2	0	0	0	0	0	0	0	0	0	0
CTNNA3	0	0	0	0	0	0	0	0	0	0
CTNNAL1	3.61	3.61	2.54	2.54	3.61	2.54	3.47	3.61	2.54	3.2
CTNNB1	5.35	5.35	5.53	5.53	5.35	5.53	5.45	5.35	5.53	5.39
CTNNBIP1	3.57	3.57	3.01	3.01	3.57	3.01	2.83	3.57	3.01	2.77
CTNNBL1	3.31	3.31	3.27	3.27	3.31	3.27	3.55	3.31	3.27	3.2
CTNND1	4.77	4.77	4.79	4.79	4.77	4.79	4.99	4.77	4.79	4.88
CTNND2	0	0	0	0	0	0	0	0	0	0
CTNS	3.52	3.52	2.94	2.94	3.52	2.94	2.82	3.52	2.94	2.9
CTPS1	1.35	1.35	2.07	2.07	1.35	2.07	1.84	1.35	2.07	1.47
CTPS2	1.93	1.93	1.58	1.58	1.93	1.58	2.37	1.93	1.58	1.67
CTR9	2.79	2.79	3.29	3.29	2.79	3.29	3.11	2.79	3.29	2.79
CTRB1	0	0	0	0	0	0	0	0	0	0
CTRB2	0	0	0	0	0	0	0	0	0	0
CTRC	0	0	0	0	0	0	0	0	0	0
CTRL	1.31	1.31	0	0	1.31	0	0	1.31	0	0.62
CTSA	4.25	4.25	4.87	4.87	4.25	4.87	4.05	4.25	4.87	4.61
CTSB	6.86	6.86	7.89	7.89	6.86	7.89	5.53	6.86	7.89	9.38
CTSC	2.35	2.35	3.22	3.22	2.35	3.22	3.39	2.35	3.22	4.2
CTSD	7.71	7.71	8.12	8.12	7.71	8.12	6.91	7.71	8.12	9.77
CTSE	0	0	0	0	0	0	0	0	0	0
CTSF	5.26	5.26	5.47	5.47	5.26	5.47	5.13	5.26	5.47	4.87
CTSG	3.98	3.98	2.39	2.39	3.98	2.39	4.65	3.98	2.39	2.09
CTSH	3.89	3.89	4.14	4.14	3.89	4.14	4.43	3.89	4.14	5.3
CTSK	9.97	9.97	7.32	7.32	9.97	7.32	7.16	9.97	7.32	8.21
CTSL	6.35	6.35	6.4	6.4	6.35	6.4	5.74	6.35	6.4	7.5
CTSO	3.8	3.8	3.76	3.76	3.8	3.76	4.81	3.8	3.76	4.08
CTSS	3.23	3.23	4.48	4.48	3.23	4.48	3.31	3.23	4.48	6.72
CTSV	0	0	0	0	0	0	0	0	0	0
CTSW	0.36	0.36	0	0	0.36	0	0.38	0.36	0	2.25
CTSZ	6.15	6.15	7.14	7.14	6.15	7.14	6.45	6.15	7.14	8.55
CTTN	5.96	5.96	5.4	5.4	5.96	5.4	5.29	5.96	5.4	5.25
CTTNBP2	0.73	0.73	0.79	0.79	0.73	0.79	0.41	0.73	0.79	0
CTTNBP2NL	2.79	2.79	2.83	2.83	2.79	2.83	3.3	2.79	2.83	3.24
CTU1	0	0	1.2	1.2	0	1.2	0	0	1.2	0.07
CTU2	2.13	2.13	1.92	1.92	2.13	1.92	1.68	2.13	1.92	1.73
CTXN1	0.44	0.44	0	0	0.44	0	0.77	0.44	0	0.77
CTXN2	0	0	0	0	0	0	0	0	0	0
CTXN3	0	0	0	0	0	0	0	0	0	0
CUBN	0	0	0	0	0	0	0	0	0	0
CUEDC1	3.31	3.31	3.47	3.47	3.31	3.47	3.42	3.31	3.47	3.3
CUEDC2	5.31	5.31	5.2	5.2	5.31	5.2	4.99	5.31	5.2	4.92
CUL1	4.68	4.68	4.6	4.6	4.68	4.6	4.4	4.68	4.6	4.25
CUL2	2.54	2.54	2.87	2.87	2.54	2.87	2.91	2.54	2.87	2.69
CUL3	2.57	2.57	2.53	2.53	2.57	2.53	2.56	2.57	2.53	2.21
CUL4A	4.8	4.8	4.09	4.09	4.8	4.09	4.12	4.8	4.09	4.21
CUL4B	3.47	3.47	3.08	3.08	3.47	3.08	3.6	3.47	3.08	3.29
CUL5	2.14	2.14	2.22	2.22	2.14	2.22	2.63	2.14	2.22	2.33
CUL7	2.9	2.9	2.61	2.61	2.9	2.61	3.13	2.9	2.61	3.18
CUL9	2.1	2.1	1.75	1.75	2.1	1.75	1.66	2.1	1.75	1.99
CUTA	4.88	4.88	5.2	5.2	4.88	5.2	5.14	4.88	5.2	4.98
CUTC	4.32	4.32	4.95	4.95	4.32	4.95	4.53	4.32	4.95	3.93
CUX1	1.58	1.58	2.2	2.2	1.58	2.2	2.06	1.58	2.2	1.9
CUX2	0	0	0	0	0	0	0	0	0	0
CUZD1	0	0	0	0	0	0	0	0	0	0
CWC15	3.86	3.86	3.71	3.71	3.86	3.71	3.95	3.86	3.71	3.72
CWC22	3.17	3.17	3.44	3.44	3.17	3.44	3.65	3.17	3.44	3
CWC25	3.55	3.55	3.29	3.29	3.55	3.29	3.27	3.55	3.29	2.95
CWC27	1.53	1.53	2.3	2.3	1.53	2.3	2.69	1.53	2.3	2.25
CWF19L1	3.13	3.13	2.27	2.27	3.13	2.27	2.49	3.13	2.27	2.3
CWF19L2	2.31	2.31	2.52	2.52	2.31	2.52	2.98	2.31	2.52	2.17
CWH43	0	0	0	0	0	0	0	0	0	0
CX3CL1	5.13	5.13	3.24	3.24	5.13	3.24	4.55	5.13	3.24	4.65
CX3CR1	0	0	0	0	0	0	0.87	0	0	0
CXADR	0	0	0	0	0	0	0	0	0	0.33
CXADRP3	0	0	0	0	0	0	0	0	0	0
CXCL1	0.46	0.46	0	0	0.46	0	0	0.46	0	0.84
CXCL10	0	0	0	0	0	0	1.59	0	0	3.97
CXCL11	0	0	0	0	0	0	0.18	0	0	1.26
CXCL12	5.27	5.27	5.59	5.59	5.27	5.59	7.02	5.27	5.59	6.67
CXCL13	0.93	0.93	0	0	0.93	0	0	0.93	0	0
CXCL14	7.03	7.03	8.36	8.36	7.03	8.36	9.52	7.03	8.36	7.99
CXCL16	4.2	4.2	3.04	3.04	4.2	3.04	2.96	4.2	3.04	6.32
CXCL17	0	0	0	0	0	0	0	0	0	0
CXCL2	4.75	4.75	1.71	1.71	4.75	1.71	0.85	4.75	1.71	5.5
CXCL3	3.13	3.13	0	0	3.13	0	0	3.13	0	3.79
CXCL5	0	0	0	0	0	0	0	0	0	0
CXCL6	0	0	0	0	0	0	0	0	0	0
CXCL9	2.44	2.44	0	0	2.44	0	1.21	2.44	0	4.41
CXCR1	0	0	0	0	0	0	0	0	0	0
CXCR2	0	0	0	0	0	0	0	0	0	0
CXCR3	0	0	0	0	0	0	0	0	0	0
CXCR4	3.83	3.83	4.61	4.61	3.83	4.61	2.94	3.83	4.61	6.39
CXCR5	0	0	0	0	0	0	0	0	0	0
CXCR6	0	0	0	0	0	0	0	0	0	0
CXorf21	0	0	0	0	0	0	0	0	0	1.05
CXorf22	0	0	0	0	0	0	0	0	0	0
CXorf23	1.87	1.87	1.32	1.32	1.87	1.32	2.18	1.87	1.32	2.2
CXorf24	0	0	0	0	0	0	0	0	0	0
CXorf27	0	0	0	0	0	0	0	0	0	0
CXorf28	0	0	0	0	0	0	0	0	0	0
CXorf30	0	0	0	0	0	0	0	0	0	0
CXorf31	0	0	0	0	0	0	0	0	0	0
CXorf36	7.03	7.03	7.33	7.33	7.03	7.33	8	7.03	7.33	6.92
CXorf38	4.26	4.26	4.06	4.06	4.26	4.06	3.94	4.26	4.06	4.48
CXorf40A	2.4	2.4	1.22	1.22	2.4	1.22	1.84	2.4	1.22	2.45
CXorf40B	6.42	6.42	5.1	5.1	6.42	5.1	5.43	6.42	5.1	5.87
CXorf48	0	0	0	0	0	0	0	0	0	0
CXorf49	0	0	0	0	0	0	0	0	0	0
CXorf49B	0	0	0	0	0	0	0	0	0	0
CXorf51A	0	0	0	0	0	0	0	0	0	0
CXorf51B	0	0	0	0	0	0	0	0	0	0
CXorf56	5.28	5.28	5.26	5.26	5.28	5.26	5.41	5.28	5.26	4.98
CXorf57	3.66	3.66	2.14	2.14	3.66	2.14	2.77	3.66	2.14	2.93
CXorf58	0	0	0	0	0	0	0	0	0	0
CXorf61	0	0	0	0	0	0	0	0	0	0
CXorf64	0	0	0	0	0	0	0	0	0	0
CXorf65	0	0	0	0	0	0	0	0	0	0
CXorf66	0	0	0	0	0	0	0	0	0	0
CXXC1	7.02	7.02	6.86	6.86	7.02	6.86	7.16	7.02	6.86	6.87
CXXC11	1.72	1.72	0	0	1.72	0	0	1.72	0	0
CXXC4	0	0	0	0	0	0	0	0	0	0
CXXC5	5.18	5.18	5.08	5.08	5.18	5.08	5.16	5.18	5.08	6.11
CYB561	3.06	3.06	3.01	3.01	3.06	3.01	3.47	3.06	3.01	3.07
CYB561A3	1.75	1.75	2.05	2.05	1.75	2.05	1.95	1.75	2.05	2.05
CYB561D1	0.96	0.96	1.46	1.46	0.96	1.46	1.31	0.96	1.46	0.42
CYB561D2	2.34	2.34	3.33	3.33	2.34	3.33	2.23	2.34	3.33	2.99
CYB5A	2.11	2.11	4	4	2.11	4	2.97	2.11	4	3.36
CYB5B	2.4	2.4	2.62	2.62	2.4	2.62	3.02	2.4	2.62	2.67
CYB5D1	2.42	2.42	2.23	2.23	2.42	2.23	2.46	2.42	2.23	1.8
CYB5D2	3.06	3.06	3.68	3.68	3.06	3.68	3.99	3.06	3.68	3.65
CYB5R1	4.03	4.03	3.98	3.98	4.03	3.98	3.76	4.03	3.98	3.66
CYB5R2	1.48	1.48	0	0	1.48	0	0	1.48	0	0.06
CYB5R3	6.15	6.15	6.79	6.79	6.15	6.79	6.48	6.15	6.79	6.24
CYB5R4	1.07	1.07	1.27	1.27	1.07	1.27	1.44	1.07	1.27	1.89
CYB5RL	0	0	0	0	0	0	0.32	0	0	0
CYBA	4.42	4.42	5.44	5.44	4.42	5.44	3.89	4.42	5.44	6.18
CYBB	1.62	1.62	4.71	4.71	1.62	4.71	3.13	1.62	4.71	4.85
CYBRD1	7.53	7.53	6.77	6.77	7.53	6.77	7	7.53	6.77	6.34
CYC1	4.97	4.97	5.35	5.35	4.97	5.35	4.87	4.97	5.35	4.86
CYCS	2.54	2.54	3.51	3.51	2.54	3.51	3.12	2.54	3.51	4.24
CYFIP1	3.73	3.73	4.08	4.08	3.73	4.08	3.76	3.73	4.08	4.22
CYFIP2	0.09	0.09	0	0	0.09	0	1.29	0.09	0	0.85
CYGB	4.47	4.47	5.18	5.18	4.47	5.18	5.11	4.47	5.18	5.2
CYHR1	1.29	1.29	1.89	1.89	1.29	1.89	1.69	1.29	1.89	1.59
CYLC1	0	0	0	0	0	0	0	0	0	0
CYLC2	0	0	0	0	0	0	0	0	0	0
CYLD	2.18	2.18	1.63	1.63	2.18	1.63	2.09	2.18	1.63	2.26
CYorf17	0	0	0	0	0	0	0	0	0	0
CYP11A1	1.59	1.59	0	0	1.59	0	0	1.59	0	0.04
CYP11B1	0	0	0	0	0	0	0	0	0	0
CYP11B2	0	0	0	0	0	0	0	0	0	0
CYP17A1	0.98	0.98	1.18	1.18	0.98	1.18	0.37	0.98	1.18	0
CYP17A1-AS1	0	0	0	0	0	0	0	0	0	0
CYP19A1	4	4	1.39	1.39	4	1.39	1.63	4	1.39	3.98
CYP1A1	1.95	1.95	1.59	1.59	1.95	1.59	0	1.95	1.59	0
CYP1A2	0	0	0	0	0	0	0	0	0	0
CYP1B1	2.7	2.7	3.06	3.06	2.7	3.06	3.43	2.7	3.06	4.79
CYP1B1-AS1	0	0	0	0	0	0	0.4	0	0	0
CYP20A1	1.91	1.91	1.81	1.81	1.91	1.81	1.88	1.91	1.81	1.64
CYP21A2	0	0	0	0	0	0	0	0	0	0
CYP24A1	0	0	0	0	0	0	0	0	0	0
CYP26A1	0	0	0	0	0	0	0	0	0	0
CYP26B1	5.9	5.9	4.92	4.92	5.9	4.92	5.05	5.9	4.92	5.62
CYP26C1	0	0	0	0	0	0	0	0	0	0
CYP27A1	4.26	4.26	3.48	3.48	4.26	3.48	3.66	4.26	3.48	6.03
CYP27B1	0	0	0	0	0	0	0	0	0	0
CYP27C1	0	0	0	0	0	0	1.4	0	0	0.59
CYP2A13	0	0	0	0	0	0	0	0	0	0
CYP2A6	0	0	0	0	0	0	0	0	0	0
CYP2A7	0	0	0	0	0	0	0	0	0	0
CYP2B6	0	0	0	0	0	0	0	0	0	0
CYP2C18	0	0	0	0	0	0	0	0	0	0
CYP2C19	0	0	0	0	0	0	0	0	0	0
CYP2C8	0	0	0	0	0	0	0	0	0	0
CYP2C9	0	0	0	0	0	0	0	0	0	0
CYP2D6	0	0	0	0	0	0	0	0	0	0
CYP2E1	0.04	0.04	0	0	0.04	0	0	0.04	0	0
CYP2F1	0	0	0	0	0	0	0	0	0	0
CYP2J2	0	0	0	0	0	0	0	0	0	0
CYP2R1	2.62	2.62	1.99	1.99	2.62	1.99	2.46	2.62	1.99	2.47
CYP2S1	0	0	0.12	0.12	0	0.12	0	0	0.12	0.78
CYP2U1	2.75	2.75	2.93	2.93	2.75	2.93	3.35	2.75	2.93	2.37
CYP2W1	0	0	0	0	0	0	0	0	0	0
CYP39A1	0	0	0	0	0	0	0.43	0	0	0
CYP3A4	0	0	0	0	0	0	0	0	0	0
CYP3A43	0	0	0	0	0	0	0	0	0	0
CYP3A5	1.02	1.02	0.71	0.71	1.02	0.71	0.15	1.02	0.71	0.25
CYP3A7	0	0	0	0	0	0	0	0	0	0
CYP46A1	0.58	0.58	0	0	0.58	0	0	0.58	0	0
CYP4A11	0	0	0	0	0	0	0.06	0	0	0
CYP4A22	0	0	0.27	0.27	0	0.27	0.19	0	0.27	0.2
CYP4A22-AS1	0	0	0	0	0	0	0	0	0	0
CYP4B1	0.05	0.05	6.16	6.16	0.05	6.16	2.86	0.05	6.16	1.53
CYP4F11	0	0	0	0	0	0	0	0	0	0
CYP4F12	0.68	0.68	2.2	2.2	0.68	2.2	2.8	0.68	2.2	2.06
CYP4F2	0	0	0	0	0	0	0	0	0	0
CYP4F22	0	0	0	0	0	0	0	0	0	0
CYP4F3	0	0	0	0	0	0	0	0	0	0
CYP4F35P	1.37	1.37	0	0	1.37	0	1.52	1.37	0	0
CYP4F59P	0	0	0	0	0	0	0	0	0	0
CYP4F8	0	0	0	0	0	0	0	0	0	0
CYP4V2	3.14	3.14	2.78	2.78	3.14	2.78	4.52	3.14	2.78	4.04
CYP4X1	2.86	2.86	3.36	3.36	2.86	3.36	4.18	2.86	3.36	3.11
CYP4Z1	0	0	0	0	0	0	0	0	0	0
CYP51A1	0	0	0	0	0	0	0	0	0	0
CYP7A1	0	0	0	0	0	0	0	0	0	0
CYP7B1	0.9	0.9	0.16	0.16	0.9	0.16	0.74	0.9	0.16	0.21
CYP8B1	0.22	0.22	0	0	0.22	0	0	0.22	0	0
CYR61	10.11	10.11	8.1	8.1	10.11	8.1	6.71	10.11	8.1	8.93
CYS1	0.51	0.51	0	0	0.51	0	2.25	0.51	0	0
CYSLTR1	0	0	0	0	0	0	1.34	0	0	1.1
CYSLTR2	0	0	0	0	0	0	0	0	0	0
CYSTM1	2.39	2.39	2.97	2.97	2.39	2.97	2.84	2.39	2.97	2.97
CYTH1	3.59	3.59	3.83	3.83	3.59	3.83	3.31	3.59	3.83	4.5
CYTH2	3.59	3.59	3.08	3.08	3.59	3.08	3.49	3.59	3.08	3.2
CYTH3	4.88	4.88	3.84	3.84	4.88	3.84	4.22	4.88	3.84	3.35
CYTH4	2.77	2.77	3.67	3.67	2.77	3.67	3.19	2.77	3.67	5.36
CYTIP	2.99	2.99	3.67	3.67	2.99	3.67	2.76	2.99	3.67	5.2
CYTL1	0	0	1.8	1.8	0	1.8	2.09	0	1.8	0
CYYR1	3.8	3.8	5.76	5.76	3.8	5.76	6.68	3.8	5.76	5.39
D2HGDH	2.72	2.72	2.97	2.97	2.72	2.97	3.06	2.72	2.97	3.17
DAAM1	1.15	1.15	1.96	1.96	1.15	1.96	2.28	1.15	1.96	1.51
DAAM2	4.18	4.18	4.34	4.34	4.18	4.34	4.27	4.18	4.34	2.94
DAB1	0	0	0	0	0	0	0	0	0	0
DAB2	5.77	5.77	5.4	5.4	5.77	5.4	5.18	5.77	5.4	5.34
DAB2IP	4.33	4.33	3.67	3.67	4.33	3.67	3.96	4.33	3.67	3.07
DACH1	0	0	1.25	1.25	0	1.25	1.43	0	1.25	0.88
DACH2	0	0	0	0	0	0	0	0	0	0
DACT1	1.54	1.54	1.55	1.55	1.54	1.55	3.59	1.54	1.55	2.43
DACT2	0	0	0	0	0	0	2.97	0	0	0
DACT3	1.78	1.78	0.51	0.51	1.78	0.51	2.44	1.78	0.51	1.12
DACT3-AS1	0	0	0	0	0	0	0	0	0	0
DAD1	6.5	6.5	6.72	6.72	6.5	6.72	6.98	6.5	6.72	6.7
DAG1	4.03	4.03	3.75	3.75	4.03	3.75	4	4.03	3.75	3.45
DAGLA	0.14	0.14	1.28	1.28	0.14	1.28	0.81	0.14	1.28	1.4
DAGLB	2.51	2.51	2.28	2.28	2.51	2.28	1.97	2.51	2.28	2.32
DAK	1.18	1.18	1.34	1.34	1.18	1.34	1.41	1.18	1.34	1.12
DALRD3	2.17	2.17	2.38	2.38	2.17	2.38	2.7	2.17	2.38	2.41
DANCR	3.47	3.47	3.8	3.8	3.47	3.8	3.39	3.47	3.8	2.64
DAND5	0	0	0	0	0	0	0	0	0	0
DAO	0	0	0	0	0	0	0	0	0	0
DAOA	0	0	0	0	0	0	0	0	0	0
DAOA-AS1	0	0	0	0	0	0	0	0	0	0
DAP	5.03	5.03	4.75	4.75	5.03	4.75	5.1	5.03	4.75	4.74
DAP3	4.01	4.01	3.82	3.82	4.01	3.82	3.77	4.01	3.82	3.67
DAPK1	2.78	2.78	1.64	1.64	2.78	1.64	2.14	2.78	1.64	3.23
DAPK1-IT1	0	0	0	0	0	0	0	0	0	0
DAPK2	1.91	1.91	1.28	1.28	1.91	1.28	1.26	1.91	1.28	1.89
DAPK3	5.08	5.08	3.92	3.92	5.08	3.92	3.94	5.08	3.92	4.2
DAPL1	1.97	1.97	0	0	1.97	0	0	1.97	0	0
DAPP1	0	0	0	0	0	0	0	0	0	2.06
DARC	5.95	5.95	6.9	6.9	5.95	6.9	7.26	5.95	6.9	7.1
DARS	4.7	4.7	4.05	4.05	4.7	4.05	4.11	4.7	4.05	4.02
DARS2	0.72	0.72	2.03	2.03	0.72	2.03	1.52	0.72	2.03	1.71
DAW1	0	0	0	0	0	0	0	0	0	0
DAXX	3.97	3.97	4.13	4.13	3.97	4.13	4.16	3.97	4.13	3.91
DAZ1	0	0	0	0	0	0	0	0	0	0
DAZ2	0	0	0	0	0	0	0	0	0	0
DAZ3	0	0	0	0	0	0	0	0	0	0
DAZ4	0	0	0	0	0	0	0	0	0	0
DAZAP1	3.32	3.32	3.23	3.23	3.32	3.23	2.69	3.32	3.23	2.99
DAZAP2	5.88	5.88	5.62	5.62	5.88	5.62	5.6	5.88	5.62	5.46
DAZL	0	0	0	0	0	0	0	0	0	0
DBF4	0.51	0.51	0	0	0.51	0	0	0.51	0	0.14
DBF4B	0	0	0	0	0	0	0.41	0	0	0.02
DBH	0	0	0	0	0	0	0	0	0	0
DBH-AS1	0	0	0	0	0	0	0	0	0	0.18
DBI	4.43	4.43	5.81	5.81	4.43	5.81	4.88	4.43	5.81	5.88
DBN1	5.21	5.21	5.04	5.04	5.21	5.04	5.38	5.21	5.04	4.93
DBNDD1	0	0	0	0	0	0	0	0	0	0
DBNDD2	3.78	3.78	4.34	4.34	3.78	4.34	5.2	3.78	4.34	4.11
DBNL	2.9	2.9	3.67	3.67	2.9	3.67	3.18	2.9	3.67	3.57
DBP	0	0	0.03	0.03	0	0.03	0.69	0	0.03	0.9
DBR1	2.09	2.09	2.28	2.28	2.09	2.28	2.56	2.09	2.28	2.26
DBT	1.34	1.34	1.5	1.5	1.34	1.5	1.36	1.34	1.5	0.67
DBX1	0	0	0	0	0	0	0	0	0	0
DBX2	0	0	0	0	0	0	0	0	0	0
DCAF10	3.09	3.09	3.05	3.05	3.09	3.05	3.44	3.09	3.05	2.86
DCAF11	2.79	2.79	3.17	3.17	2.79	3.17	2.99	2.79	3.17	2.7
DCAF12	3.14	3.14	3.16	3.16	3.14	3.16	3.38	3.14	3.16	3
DCAF12L1	0	0	0	0	0	0	0	0	0	0
DCAF12L2	0	0	0	0	0	0	0.65	0	0	0
DCAF13	1.85	1.85	1.98	1.98	1.85	1.98	1.83	1.85	1.98	1.75
DCAF15	3.93	3.93	3.58	3.58	3.93	3.58	3.67	3.93	3.58	3.99
DCAF16	3.34	3.34	2.79	2.79	3.34	2.79	3.07	3.34	2.79	2.86
DCAF17	1.16	1.16	1.11	1.11	1.16	1.11	1.84	1.16	1.11	1.12
DCAF4	1.86	1.86	1.62	1.62	1.86	1.62	1.15	1.86	1.62	1.25
DCAF4L1	0	0	0	0	0	0	0	0	0	0
DCAF4L2	0	0	0	0	0	0	0	0	0	0
DCAF5	3.41	3.41	3.72	3.72	3.41	3.72	3.76	3.41	3.72	3.57
DCAF6	3.66	3.66	3.68	3.68	3.66	3.68	3.94	3.66	3.68	3.4
DCAF7	3.82	3.82	3.68	3.68	3.82	3.68	3.68	3.82	3.68	3.86
DCAF8	4.53	4.53	4.34	4.34	4.53	4.34	4.3	4.53	4.34	4.26
