Sample1	Sample2	Sample3	Sample4	Sample5
BABAM1	0.601895	0.59618	0.7033	0.61908	0.48475
BACE1	0.37281	0.11846	0.12279	0.1376	0.11786
BACE2	0.37178	0.343455	0.4120675	0.1376	0.11786
BACH1	0.592015	0.81266	0.67387	0.77568	0.82787
BACH2	0.50111	0.11846	0.12279	0.42717	0.34323
BAD	0.80252	0.69621	0.808905	0.85186	0.61078
BAG1	0.62664	0.85353	0.83587	0.85442	0.85304
BAG2	0.11898	0.4105025	0.12279	0.1376	0.45463
BAG3	0.4556	0.11846	0.84993	0.658945	0.76042
BAG4	0.606685	0.65639	0.508175	0.696175	0.7476
BAG5	0.68164	0.69905	0.51682	0.76994	0.69597
BAG6	0.9336	0.92923	0.96227	0.95488	0.88865
BAHD1	0.58582	0.52909	0.63188	0.62526	0.44723
BAI1	0.11898	0.11846	0.12279	0.1376	0.11786
BAI2	0.11898	0.77344	0.355605	0.55961	0.67594
BAI3	0.11898	0.11846	0.12279	0.1376	0.11786
BAIAP2	0.11898	0.11846	0.384605	0.362965	0.38235
BAIAP2-AS1	0.304855	0.11846	0.40774	0.1376	0.11786
BAIAP2L1	0.11898	0.11846	0.12279	0.1376	0.11786
BAIAP2L2	0.11898	0.11846	0.12279	0.1376	0.11786
BAIAP3	0.11898	0.35679	0.12279	0.582455	0.11786
BAK1	0.88961	0.83526	0.88632	0.88281	0.652985
BAMBI	0.11898	0.11846	0.12279	0.358325	0.11786
BANF1	0.87535	0.79794	0.92507	0.7262	0.76323
BANF2	0.11898	0.11846	0.12279	0.1376	0.11786
BANK1	0.11898	0.11846	0.12279	0.1376	0.11786
BANP	0.46266	0.4723	0.57047	0.56559	0.5167
BAP1	0.8569	0.89146	0.8971	0.92674	0.82618
BARD1	0.85174	0.90812	0.797045	0.82719	0.91432
BARHL1	0.11898	0.11846	0.12279	0.1376	0.11786
BARX1	0.11898	0.11846	0.12279	0.1376	0.11786
BARX2	0.11898	0.11846	0.12279	0.1376	0.11786
BASP1	0.30938	0.39533	0.12279	0.1376	0.11786
BATF	0.597085	0.5343	0.46462	0.1376	0.415915
BATF2	0.11898	0.11846	0.12279	0.1376	0.11786
BATF3	0.11898	0.11846	0.3603	0.1376	0.11786
BAX	0.745545	0.79645	0.803355	0.745545	0.676645
BAZ1A	0.70408	0.782195	0.72287	0.70447	0.90697
BAZ1B	0.84582	0.94967	0.85442	0.83672	0.95488
BAZ2A	0.84762	0.90012	0.79943	0.90237	0.80709
BAZ2B	0.56136	0.51501	0.456495	0.49916	0.86282
BBIP1	0.3960525	0.33097	0.3669975	0.1376	0.35145
BBOX1	0.11898	0.11846	0.12279	0.1376	0.11786
BBS1	0.11898	0.11846	0.12279	0.1376	0.11786
BBS10	0.386665	0.383825	0.390095	0.1376	0.61698
BBS12	0.11898	0.11846	0.12279	0.1376	0.11786
BBS2	0.37899	0.36666	0.38076	0.1376	0.472
BBS4	0.3773325	0.3611925	0.32137	0.1376	0.4344175
BBS5	0.11898	0.11846	0.12279	0.1376	0.11786
BBS7	0.11898	0.352645	0.41546	0.1376	0.3396775
BBS9	0.41701	0.371235	0.40253	0.421605	0.52055
BBX	0.68567	0.71403	0.498985	0.61367	0.80995
BCAM	0.11898	0.11846	0.12279	0.1376	0.11786
BCAN	0.11898	0.11846	0.12279	0.1376	0.11786
BCAP29	0.347785	0.43553	0.400855	0.1376	0.42153
BCAP31	0.88484	0.83031	0.93621	0.90338	0.74618
BCAR1	0.11898	0.11846	0.12279	0.1376	0.11786
BCAR3	0.11898	0.11846	0.12279	0.1376	0.11786
BCAR4	0.11898	0.11846	0.12279	0.1376	0.11786
BCAS1	0.11898	0.11846	0.12279	0.1376	0.11786
BCAS2	0.82844	0.8846	0.84705	0.88951	0.83826
BCAS3	0.4288225	0.39358	0.40227	0.1376	0.38495
BCAS4	0.52778	0.11846	0.12279	0.1376	0.11786
BCAT1	0.56171	0.35453	0.4213025	0.389585	0.615385
BCAT2	0.4167	0.363535	0.473565	0.1376	0.11786
BCCIP	0.618	0.73787	0.662045	0.66934	0.626915
BCDIN3D	0.344115	0.30984	0.32137	0.372125	0.11786
BCDIN3D-AS1	0.11898	0.11846	0.12279	0.1376	0.11786
BCHE	0.710135	0.11846	0.12279	0.1376	0.11786
BCKDHA	0.11898	0.11846	0.12279	0.1376	0.11786
BCKDHB	0.49733	0.40363	0.4950475	0.4019	0.534685
BCKDK	0.48687	0.4458725	0.542285	0.4769	0.381535
BCL10	0.559015	0.65414	0.52709	0.692805	0.63718
BCL11A	0.30647	0.54966	0.649885	0.53912	0.699345
BCL11B	0.96029	0.92952	0.93318	0.94379	0.92792
BCL2	0.538565	0.43211	0.35698	0.372125	0.69572
BCL2A1	0.54063	0.506	0.528785	0.3563	0.584105
BCL2L1	0.91664	0.98695	0.910145	0.93953	0.74388
BCL2L10	0.11898	0.312865	0.12279	0.1376	0.33164
BCL2L11	0.46171	0.62366	0.56876	0.91206	0.47968
BCL2L12	0.43852	0.57161	0.55347	0.58114	0.4073675
BCL2L13	0.56686	0.52179	0.62344	0.56697	0.542975
BCL2L14	0.11898	0.11846	0.12279	0.1376	0.11786
BCL2L15	0.11898	0.11846	0.12279	0.1376	0.11786
BCL2L2	0.52549	0.47805	0.12279	0.1376	0.4443
BCL6	0.76389	0.702465	0.55376	0.78578	0.75877
BCL6B	0.11898	0.11846	0.12279	0.1376	0.11786
BCL7A	0.82264	0.800235	0.88931	0.85619	0.74122
BCL7B	0.77947	0.80404	0.79663	0.94578	0.67676
BCL7C	0.484985	0.43211	0.56316	0.54996	0.41466
BCL9	0.48546	0.61999	0.46456	0.513465	0.506
BCL9L	0.383225	0.34439	0.4887	0.43003	0.3688375
BCLAF1	0.92932	0.949805	0.91331	0.95216	0.97016
BCMO1	0.11898	0.11846	0.12279	0.1376	0.11786
BCO2	0.11898	0.11846	0.12279	0.1376	0.11786
BCOR	0.87903	0.75343	0.76489	0.837705	0.7543
BCORL1	0.11898	0.42006	0.328775	0.378815	0.35936
BCR	0.839015	0.66594	0.78506	0.92301	0.76225
BCS1L	0.4102525	0.421805	0.48162	0.1376	0.3869875
BDH1	0.413915	0.4972	0.3934	0.1376	0.422425
BDH2	0.59637	0.5110725	0.638355	0.48699	0.55584
BDKRB1	0.11898	0.11846	0.12279	0.1376	0.11786
BDKRB2	0.11898	0.11846	0.12279	0.1376	0.11786
BDNF	0.11898	0.11846	0.12279	0.1376	0.11786
BDNF-AS	0.11898	0.11846	0.12279	0.1376	0.11786
BDP1	0.55052	0.84523	0.633045	0.705875	0.86163
BEAN1	0.11898	0.11846	0.12279	0.1376	0.11786
BECN1	0.77122	0.631215	0.72729	0.694435	0.59637
BEGAIN	0.11898	0.11846	0.12279	0.1376	0.11786
BEND2	0.11898	0.11846	0.12279	0.1376	0.11786
BEND3	0.331395	0.40835	0.377875	0.515735	0.482775
BEND4	0.11898	0.11846	0.33729	0.57431	0.11786
BEND5	0.44761	0.559725	0.5373225	0.53492	0.40332
BEND6	0.11898	0.11846	0.12279	0.1376	0.11786
BEND7	0.11898	0.11846	0.12279	0.1376	0.11786
BEST1	0.11898	0.11846	0.12279	0.1376	0.11786
BEST2	0.11898	0.11846	0.12279	0.1376	0.11786
BEST3	0.47075	0.57019	0.12279	0.1376	0.489565
BEST4	0.11898	0.11846	0.12279	0.1376	0.11786
BET1	0.360475	0.11846	0.34608	0.1376	0.32437
BET1L	0.69848	0.50993	0.58397	0.59807	0.46876
BEX1	0.11898	0.57082	0.90883	0.95508	0.11786
BEX2	0.11898	0.11846	0.84603	0.93659	0.11786
BEX4	0.94089	0.7301	0.91257	0.88994	0.86781
BEX5	0.11898	0.11846	0.40071	0.50958	0.11786
BFAR	0.77777	0.66266	0.676945	0.6678	0.67191
BFSP1	0.11898	0.11846	0.12279	0.1376	0.11786
BFSP2	0.11898	0.11846	0.12279	0.1376	0.11786
BFSP2-AS1	0.11898	0.11846	0.12279	0.1376	0.11786
BGN	0.11898	0.11846	0.12279	0.1376	0.11786
BHLHB9	0.11898	0.11846	0.336895	0.38072	0.11786
BHLHE22	0.11898	0.11846	0.12279	0.1376	0.11786
BHLHE23	0.96639	0.11846	0.66153	0.9425	0.400305
BHLHE40	0.54544	0.55196	0.39716	0.91366	0.578915
BHLHE41	0.11898	0.11846	0.12279	0.1376	0.11786
BHMT	0.11898	0.11846	0.12279	0.1376	0.11786
BHMT2	0.11898	0.11846	0.12279	0.1376	0.11786
BICC1	0.11898	0.11846	0.12279	0.1376	0.11786
BICD1	0.31468	0.40482	0.397365	0.39793	0.35566
BICD2	0.9014	0.84233	0.81927	0.86591	0.86366
BID	0.82612	0.59685	0.71742	0.45289	0.50676
BIK	0.590715	0.346785	0.12279	0.1376	0.11786
BIN1	0.3792975	0.460585	0.3354875	0.4914	0.4266775
BIN2	0.79894	0.8528	0.89807	0.83177	0.8394075
BIN3	0.61746	0.557795	0.6316	0.69765	0.50369
BIRC2	0.78411	0.730615	0.68497	0.82737	0.86906
BIRC3	0.53634	0.4229275	0.4849375	0.47413	0.74345
BIRC5	0.83382	0.87883	0.90312	0.84829	0.51746
BIRC6	0.83284	0.91052	0.76779	0.85453	0.95468
BIRC7	0.11898	0.11846	0.12279	0.1376	0.11786
BIVM	0.62879	0.35276	0.3409225	0.1376	0.352145
BLCAP	0.72629	0.582125	0.615675	0.645775	0.457435
BLID	0.11898	0.11846	0.12279	0.1376	0.11786
BLK	0.11898	0.498985	0.74115	0.76752	0.11786
BLM	0.49566	0.7622	0.4695	0.412195	0.70288
BLMH	0.69302	0.73202	0.74282	0.71264	0.57975
BLNK	0.11898	0.11846	0.12279	0.1376	0.11786
BLOC1S1	0.7219175	0.67594	0.74499	0.606685	0.46808
BLOC1S2	0.74433	0.68396	0.70133	0.85517	0.64492
BLOC1S3	0.3658	0.11846	0.373145	0.50578	0.11786
BLOC1S4	0.620345	0.465425	0.63934	0.78529	0.4053325
BLOC1S6	0.66934	0.80804	0.73334	0.82635	0.89447
BLVRA	0.692805	0.620345	0.62727	0.56045	0.56697
BLVRB	0.74518	0.65666	0.53378	0.4467675	0.11786
BLZF1	0.5959775	0.54517	0.510395	0.4167	0.64113
BMF	0.559455	0.74142	0.76366	0.358325	0.468555
BMP1	0.39323	0.426155	0.39246	0.36615	0.36983
BMP10	0.11898	0.11846	0.12279	0.1376	0.11786
BMP15	0.11898	0.11846	0.12279	0.1376	0.11786
BMP2	0.11898	0.11846	0.12279	0.1376	0.11786
BMP2K	0.5797	0.4113625	0.45448	0.3669075	0.52702
BMP3	0.11898	0.11846	0.12279	0.1376	0.11786
BMP4	0.426155	0.11846	0.12279	0.1376	0.11786
BMP5	0.11898	0.11846	0.12279	0.1376	0.11786
BMP6	0.11898	0.11846	0.12279	0.1376	0.11786
BMP7	0.11898	0.11846	0.12279	0.1376	0.11786
BMP8A	0.11898	0.11846	0.12279	0.1376	0.11786
BMP8B	0.11898	0.11846	0.12279	0.1376	0.11786
BMPER	0.11898	0.11846	0.12279	0.1376	0.11786
BMPR1A	0.11898	0.11846	0.3479975	0.1376	0.52461
BMPR1B	0.416845	0.580695	0.40697	0.38801	0.667845
BMPR2	0.392365	0.11846	0.36598	0.1376	0.11786
BMS1	0.5471825	0.711175	0.67283	0.704005	0.6783475
BMX	0.11898	0.11846	0.12279	0.1376	0.11786
BNC1	0.11898	0.11846	0.12279	0.1376	0.11786
BNC2	0.11898	0.11846	0.12279	0.1376	0.32898
BNIP1	0.59347	0.70494	0.669295	0.67712	0.43179
BNIP2	0.83649	0.86123	0.64467	0.862965	0.86346
BNIP3	0.43512	0.11846	0.50339	0.77759	0.11786
BNIP3L	0.88298	0.88467	0.89503	0.91	0.89564
BNIPL	0.11898	0.11846	0.12279	0.1376	0.11786
BOC	0.11898	0.11846	0.12279	0.1376	0.11786
BOD1	0.59623	0.62344	0.689675	0.64026	0.40098
BOD1L1	0.619645	0.80508	0.526075	0.695015	0.82331
BOD1L2	0.11898	0.11846	0.12279	0.1376	0.11786
BOK	0.11898	0.11846	0.12279	0.1376	0.11786
BOLA1	0.71101	0.48706	0.803355	0.69	0.377675
BOLA2	0.11898	0.11846	0.325185	0.410425	0.11786
BOLA3	0.36167	0.462945	0.47898	0.428105	0.34013
BOLA3-AS1	0.11898	0.11846	0.12279	0.1376	0.11786
BOLL	0.11898	0.11846	0.12279	0.1376	0.11786
BORA	0.51733	0.57668	0.56838	0.47816	0.506055
BPESC1	0.11898	0.11846	0.12279	0.1376	0.11786
BPGM	0.48264	0.523285	0.518485	0.70548	0.738425
BPHL	0.11898	0.11846	0.4301	0.1376	0.11786
BPIFA1	0.11898	0.11846	0.12279	0.1376	0.11786
BPIFA2	0.11898	0.11846	0.12279	0.1376	0.11786
BPIFA3	0.11898	0.11846	0.12279	0.1376	0.11786
BPIFB1	0.11898	0.11846	0.12279	0.1376	0.11786
BPIFB2	0.11898	0.11846	0.12279	0.1376	0.11786
BPIFB4	0.11898	0.11846	0.12279	0.1376	0.11786
BPIFB6	0.11898	0.11846	0.12279	0.1376	0.11786
BPIFC	0.11898	0.11846	0.12279	0.1376	0.11786
BPNT1	0.61116	0.508945	0.670415	0.475425	0.471
BPTF	0.7434	0.850955	0.79495	0.9312	0.913085
BPY2	0.11898	0.11846	0.12279	0.1376	0.11786
BRAF	0.52	0.62547	0.477985	0.74637	0.668115
BRAP	0.72526	0.74871	0.63696	0.78287	0.653125
BRAT1	0.65429	0.632645	0.63428	0.55336	0.5747
BRCA1	0.414205	0.6314	0.471085	0.432475	0.6416
BRCA2	0.4682675	0.714875	0.4482	0.453475	0.69675
BRCC3	0.37762	0.53912	0.418165	0.1376	0.55273
BRD1	0.89078	0.78825	0.83571	0.91266	0.75241
BRD2	0.95821	0.97279	0.9726	0.97751	0.96467
BRD3	0.82773	0.698915	0.7352675	0.730615	0.624965
BRD4	0.61928	0.72254	0.56339	0.88121	0.768345
BRD7	0.65921	0.855715	0.70529	0.77679	0.81834
BRD8	0.561205	0.52909	0.55533	0.43431	0.6483
BRD9	0.51288	0.53754	0.56298	0.56298	0.553645
BRDT	0.11898	0.11846	0.12279	0.1376	0.11786
BRE	0.50845	0.432255	0.48915	0.37264	0.33589
BRF1	0.348055	0.4228425	0.33656	0.39691	0.307955
BRF2	0.68526	0.63619	0.66372	0.77038	0.549095
BRI3	0.5433525	0.53705	0.56202	0.61781	0.382585
BRI3BP	0.48321	0.68725	0.671765	0.48893	0.67375
BRICD5	0.30647	0.368685	0.40853	0.465245	0.49129
BRINP1	0.11898	0.11846	0.12279	0.1376	0.11786
BRINP2	0.11898	0.11846	0.12279	0.1376	0.11786
BRINP3	0.11898	0.11846	0.12279	0.1376	0.11786
BRIP1	0.50993	0.76483	0.54356	0.57397	0.81441
BRIX1	0.48348	0.6748	0.57094	0.613335	0.59489
BRK1	0.94995	0.93101	0.95402	0.95353	0.8739
BRMS1	0.85981	0.72802	0.88298	0.88289	0.6727725
BRMS1L	0.11898	0.3958625	0.34113	0.4282	0.46031
BROX	0.646075	0.56529	0.49716	0.55819	0.659815
BRPF1	0.77958	0.87163	0.79476	0.86163	0.76346
BRPF3	0.474425	0.56013	0.52681	0.62727	0.560615
BRS3	0.11898	0.11846	0.12279	0.1376	0.11786
BRSK1	0.47493	0.385375	0.32682	0.37559	0.11786
BRSK2	0.11898	0.11846	0.12279	0.1376	0.11786
BRWD1	0.727	0.83404	0.65145	0.76281	0.88132
BRWD1-IT2	0.11898	0.11846	0.12279	0.1376	0.11786
BRWD3	0.4478875	0.57521	0.45891	0.583155	0.70058
BSDC1	0.86028	0.8761825	0.76678	0.85809	0.834665
BSG	0.91275	0.88078	0.93587	0.82804	0.7881075
BSN	0.11898	0.11846	0.12279	0.1376	0.11786
BSN-AS2	0.11898	0.11846	0.12279	0.1376	0.11786
BSND	0.11898	0.11846	0.12279	0.1376	0.11786
BSPRY	0.82911	0.38992	0.3701675	0.536225	0.11786
BST1	0.36931	0.41188	0.422275	0.1376	0.11786
BST2	0.93867	0.78477	0.776525	0.82753	0.8824475
BTAF1	0.8245725	0.80797	0.7615775	0.883385	0.95323
BTBD1	0.84686	0.853675	0.79692	0.78761	0.84362
BTBD10	0.542285	0.60137	0.5673625	0.73793	0.62087
BTBD11	0.76419	0.693985	0.49003	0.7072	0.580855
BTBD16	0.11898	0.11846	0.12279	0.1376	0.11786
BTBD17	0.11898	0.11846	0.12279	0.1376	0.11786
BTBD18	0.11898	0.11846	0.12279	0.1376	0.11786
BTBD19	0.31367	0.391615	0.315225	0.390655	0.11786
BTBD2	0.8103	0.7360875	0.83299	0.819985	0.626175
BTBD3	0.570355	0.56053	0.49939	0.57279	0.664415
BTBD6	0.63603	0.756215	0.80628	0.65075	0.59171
BTBD7	0.3447	0.41988	0.344115	0.459365	0.547005
BTBD8	0.31084	0.11846	0.12279	0.1376	0.33476
BTBD9	0.378055	0.363855	0.38541	0.4955	0.441935
BTC	0.11898	0.11846	0.12279	0.1376	0.11786
BTD	0.35123	0.11846	0.34035	0.38332	0.11786
BTF3	0.97865	0.98351	0.97772	0.98523	0.9817
BTF3L4	0.79561	0.667345	0.66343	0.65746	0.64354
BTG1	0.98599	0.97513	0.96127	0.96892	0.98383
BTG2	0.95439	0.96588	0.94343	0.95879	0.93082
BTG3	0.78955	0.91079	0.83397	0.90094	0.90103
BTG4	0.11898	0.11846	0.12279	0.1376	0.11786
BTK	0.11898	0.32088	0.12279	0.1376	0.11786
BTLA	0.11898	0.11846	0.12279	0.1376	0.11786
BTN1A1	0.11898	0.11846	0.12279	0.1376	0.11786
BTN2A1	0.70646	0.592015	0.72872	0.76613	0.84944
BTN2A2	0.473685	0.38314	0.48188	0.4494825	0.66934
BTN3A1	0.60144	0.482255	0.619435	0.52275	0.73419
BTN3A2	0.75007	0.552255	0.71302	0.64242	0.588775
BTN3A3	0.540155	0.4542525	0.605555	0.504635	0.54198
BTNL2	0.11898	0.11846	0.12279	0.1376	0.11786
BTNL3	0.11898	0.11846	0.12279	0.1376	0.11786
BTNL8	0.11898	0.11846	0.12279	0.1376	0.11786
BTNL9	0.11898	0.11846	0.12279	0.1376	0.4902
BTRC	0.3666225	0.50224	0.3574	0.425525	0.55021
BUB1	0.68666	0.81392	0.66823	0.500555	0.65639
BUB1B	0.58858	0.908695	0.62332	0.6250425	0.86554
BUB3	0.93489	0.915135	0.88585	0.82828	0.93427
BUD13	0.83429	0.928055	0.8392	0.8555	0.867105
BUD31	0.86292	0.88452	0.87883	0.93225	0.78181
BVES	0.11898	0.11846	0.12279	0.1376	0.11786
BVES-AS1	0.11898	0.11846	0.12279	0.1376	0.11786
BYSL	0.569505	0.6539175	0.81705	0.62077	0.598525
BZRAP1	0.664415	0.90716	0.76752	0.80323	0.72426
BZRAP1-AS1	0.53997	0.5751	0.725415	0.4178	0.582455
BZW1	0.903255	0.93673	0.8994	0.93682	0.94957
BZW2	0.74718	0.8350075	0.82496	0.81407	0.68709
C10orf10	0.54534	0.11846	0.3525125	0.4009	0.3466575
C10orf107	0.11898	0.11846	0.39288	0.1376	0.11786
C10orf11	0.11898	0.11846	0.12279	0.1376	0.11786
C10orf113	0.11898	0.11846	0.12279	0.1376	0.11786
C10orf12	0.4916025	0.44006	0.4148825	0.61771	0.806945
C10orf126	0.11898	0.11846	0.12279	0.1376	0.11786
C10orf128	0.11898	0.11846	0.12279	0.1376	0.11786
C10orf2	0.54031	0.411185	0.588775	0.5374225	0.30713
C10orf25	0.448065	0.308125	0.43383	0.1376	0.38684
C10orf32	0.65027	0.453005	0.58289	0.64236	0.48117
C10orf35	0.335455	0.11846	0.12279	0.1376	0.11786
C10orf40	0.11898	0.11846	0.12279	0.1376	0.11786
C10orf53	0.11898	0.11846	0.12279	0.1376	0.11786
C10orf54	0.78485	0.613335	0.75398	0.50144	0.47293
C10orf55	0.11898	0.11846	0.12279	0.1376	0.11786
C10orf62	0.11898	0.11846	0.12279	0.1376	0.11786
C10orf67	0.11898	0.11846	0.12279	0.1376	0.11786
C10orf71	0.11898	0.11846	0.12279	0.1376	0.11786
C10orf71-AS1	0.11898	0.11846	0.12279	0.1376	0.11786
C10orf76	0.55251	0.62805	0.63241	0.58979	0.56491
C10orf82	0.11898	0.11846	0.12279	0.1376	0.11786
C10orf85	0.11898	0.11846	0.12279	0.1376	0.11786
C10orf88	0.40041	0.344005	0.361845	0.1376	0.4203375
C10orf90	0.11898	0.11846	0.12279	0.1376	0.11786
C10orf91	0.11898	0.11846	0.12279	0.1376	0.11786
C10orf95	0.11898	0.11846	0.12279	0.1376	0.11786
C10orf99	0.11898	0.11846	0.12279	0.1376	0.11786
C11orf1	0.418715	0.361715	0.36098	0.540155	0.34589
C11orf16	0.11898	0.11846	0.12279	0.1376	0.11786
C11orf21	0.11898	0.4046125	0.12279	0.1376	0.11786
C11orf24	0.304855	0.11846	0.12279	0.1376	0.11786
C11orf30	0.43391	0.52969	0.38567	0.501655	0.62024
C11orf31	0.79476	0.7059275	0.82071	0.6458375	0.54684
C11orf40	0.11898	0.11846	0.12279	0.1376	0.11786
C11orf42	0.11898	0.11846	0.12279	0.1376	0.11786
C11orf44	0.11898	0.11846	0.12279	0.1376	0.11786
C11orf45	0.40041	0.11846	0.35145	0.1376	0.11786
C11orf49	0.542785	0.43308	0.582455	0.5022075	0.50832
C11orf53	0.11898	0.11846	0.12279	0.1376	0.11786
C11orf54	0.47399	0.389005	0.397105	0.387115	0.5262925
C11orf57	0.67133	0.58519	0.53022	0.61857	0.56759
C11orf58	0.82155	0.7898975	0.76469	0.793875	0.82911
C11orf63	0.304855	0.11846	0.12279	0.1376	0.30713
C11orf65	0.11898	0.11846	0.12279	0.1376	0.11786
C11orf68	0.78092	0.45463	0.72388	0.470905	0.4446725
C11orf70	0.11898	0.11846	0.12279	0.1376	0.11786
C11orf71	0.81221	0.46371	0.67778	0.6748	0.512025
C11orf72	0.11898	0.11846	0.12279	0.1376	0.11786
C11orf73	0.55801	0.51067	0.737225	0.44283	0.582335
C11orf74	0.11898	0.11846	0.37046	0.398905	0.387575
C11orf80	0.39263	0.56686	0.6303	0.60459	0.62359
C11orf83	0.495	0.49488	0.57584	0.5024675	0.418935
C11orf84	0.72799	0.64264	0.76433	0.7627	0.57672
C11orf85	0.11898	0.11846	0.12279	0.1376	0.11786
C11orf86	0.11898	0.11846	0.12279	0.1376	0.11786
C11orf87	0.11898	0.11846	0.12279	0.1376	0.11786
C11orf88	0.11898	0.11846	0.12279	0.1376	0.11786
C11orf94	0.36515	0.35936	0.12279	0.39865	0.314115
C11orf95	0.39756	0.45387	0.6248	0.49571	0.3652875
C11orf96	0.11898	0.380815	0.322075	0.72361	0.11786
C12orf10	0.68497	0.68316	0.78637	0.79553	0.57584
C12orf29	0.52364	0.462815	0.44884	0.42569	0.44153
C12orf4	0.30938	0.489095	0.45826	0.421255	0.4713525
C12orf40	0.11898	0.11846	0.12279	0.1376	0.11786
C12orf42	0.11898	0.11846	0.12279	0.1376	0.11786
C12orf43	0.54377	0.42478	0.5207175	0.53007	0.3991625
C12orf45	0.64145	0.5091575	0.630875	0.71426	0.52842
C12orf49	0.736025	0.50524	0.62512	0.72361	0.511445
C12orf5	0.11898	0.50578	0.40498	0.418935	0.11786
C12orf50	0.11898	0.11846	0.12279	0.1376	0.11786
C12orf54	0.11898	0.11846	0.12279	0.1376	0.11786
C12orf55	0.11898	0.11846	0.12279	0.1376	0.11786
C12orf56	0.11898	0.11846	0.12279	0.1376	0.11786
C12orf57	0.97381	0.97918	0.98805	0.98512	0.96678
C12orf60	0.11898	0.11846	0.12279	0.1376	0.11786
C12orf61	0.350865	0.11846	0.37178	0.358325	0.11786
C12orf65	0.56502	0.40204	0.44931	0.484855	0.493285
C12orf66	0.414205	0.3259275	0.355605	0.1376	0.11786
C12orf73	0.36361	0.3380325	0.418935	0.365335	0.337885
C12orf74	0.11898	0.11846	0.12279	0.1376	0.11786
C12orf75	0.84281	0.81506	0.85246	0.66584	0.90156
C12orf76	0.51352	0.367585	0.37729	0.428865	0.3480975
C12orf77	0.11898	0.11846	0.12279	0.1376	0.11786
C12orf79	0.50832	0.588365	0.389585	0.612195	0.72751
C12orf80	0.11898	0.11846	0.12279	0.1376	0.11786
C14orf1	0.52524	0.512025	0.62077	0.559725	0.4915125
C14orf105	0.11898	0.11846	0.12279	0.1376	0.11786
C14orf119	0.62112	0.40204	0.59347	0.4683625	0.44614
C14orf132	0.11898	0.11846	0.12279	0.1376	0.11786
C14orf142	0.68002	0.66001	0.737545	0.493285	0.63365
C14orf159	0.66806	0.566695	0.63556	0.454435	0.54063
C14orf166	0.94118	0.95177	0.95488	0.95753	0.92876
C14orf169	0.67133	0.571515	0.78674	0.693985	0.50724
C14orf178	0.11898	0.11846	0.12279	0.1376	0.11786
C14orf180	0.11898	0.11846	0.12279	0.1376	0.11786
C14orf182	0.11898	0.11846	0.12279	0.1376	0.11786
C14orf183	0.11898	0.11846	0.12279	0.1376	0.30191
C14orf2	0.88724	0.80157	0.88556	0.89701	0.65285
C14orf23	0.11898	0.11846	0.12279	0.1376	0.11786
C14orf28	0.11898	0.11846	0.12279	0.1376	0.11786
C14orf37	0.11898	0.11846	0.12279	0.1376	0.32378
C14orf39	0.11898	0.11846	0.53674	0.56583	0.11786
C14orf64	0.48124	0.443705	0.60244	0.363855	0.44386
C14orf79	0.11898	0.11846	0.12279	0.1376	0.11786
C14orf80	0.3831	0.3533	0.41788	0.1376	0.315575
C14orf93	0.5725	0.439325	0.538245	0.57065	0.39125
C15orf26	0.11898	0.11846	0.12279	0.1376	0.11786
C15orf27	0.11898	0.11846	0.12279	0.1376	0.11786
C15orf32	0.11898	0.11846	0.12279	0.1376	0.11786
C15orf37	0.46497	0.41011	0.44917	0.57411	0.11786
C15orf39	0.73138	0.87462	0.55707	0.71233	0.72382
C15orf40	0.40754	0.36313	0.410545	0.1376	0.353735
C15orf41	0.11898	0.32129	0.12279	0.1376	0.31881
C15orf43	0.11898	0.11846	0.12279	0.1376	0.11786
C15orf48	0.11898	0.11846	0.12279	0.1376	0.11786
C15orf52	0.11898	0.11846	0.12279	0.1376	0.11786
C15orf54	0.11898	0.11846	0.12279	0.1376	0.11786
C15orf56	0.11898	0.11846	0.12279	0.1376	0.11786
C15orf57	0.386935	0.11846	0.35889	0.3818775	0.3713
C15orf59	0.11898	0.11846	0.12279	0.1376	0.11786
C15orf61	0.68002	0.3679	0.5189	0.57113	0.434215
C15orf62	0.11898	0.479375	0.12279	0.3918775	0.4105975
C15orf65	0.11898	0.11846	0.12279	0.1376	0.11786
C16orf13	0.86591	0.75567	0.853675	0.78578	0.70989
C16orf3	0.11898	0.11846	0.12279	0.1376	0.11786
C16orf45	0.11898	0.11846	0.12279	0.1376	0.11786
C16orf46	0.11898	0.11846	0.12279	0.1376	0.11786
C16orf54	0.96799	0.784225	0.90758	0.85174	0.8213975
C16orf58	0.80964	0.646375	0.76979	0.6326075	0.61452
C16orf59	0.39358	0.46751	0.55719	0.400125	0.33717
C16orf62	0.54309	0.50444	0.57082	0.454875	0.41767
C16orf70	0.38925	0.44701	0.41523	0.533885	0.43679
C16orf71	0.11898	0.11846	0.12279	0.1376	0.11786
C16orf72	0.70833	0.86758	0.75364	0.914095	0.85709
C16orf74	0.11898	0.11846	0.12279	0.1376	0.11786
C16orf78	0.11898	0.11846	0.12279	0.1376	0.11786
C16orf80	0.93277	0.8513125	0.87095	0.88444	0.91257
C16orf82	0.11898	0.11846	0.12279	0.1376	0.11786
C16orf86	0.46813	0.38051	0.38651	0.37642	0.11786
C16orf87	0.30938	0.6265	0.5380075	0.60528	0.51081
C16orf89	0.11898	0.11846	0.12279	0.1376	0.11786
C16orf91	0.70133	0.72151	0.67655	0.74843	0.59014
